"Toggle navigation","Rozwiń kategorie"
"in whole gallery","w całej galerii"
"All categories","Wszystkie kategorie"
"She","Ona"
"Him","On"
"Search","Szukaj"
"Your account","Twoje Konto"
"Favorites","Ulubione"
"Basket","Koszyk"
"size","rozmiar"
"quantity","ilość"
"Products count","Ilość produktów"
"Products worth","Wartość produktów"
"Shipping cost","Koszt dostawy"
"See your cart","Zobacz koszyk"
"free shipping","gratis"
"about us","o nas"
"contact","kontakt"
"portfolio","portfolio"
"service","usługi"
"connect with us","dołącz do nas"
"cookie policy","polityka cookies"
"full version of this page","pełna wersja strony"
"browse stylisation","przeglądaj stylizacje"
"enter the shop","wejdź do sklepu"
"inspirations","inspiracje"
"see","zobacz"
"popular brands","najpopularniejsze marki"
"see more brands","zobacz więcej marek"
"last seen","ostatnio oglądane"
"cookies policy","polityka cookies"
"full page version","pełna wersja strony"
"Seller","Sprzedawca"
"Seller's info","Informacje o sprzedawcy"
"Submit a question to seller","Zadaj pytanie sprzedawcy"
"RMA rules","warunki dostawy i zwrotu"
"Go to vendor's store","Przejdź do sklepu"
"Shop details","Dane sklepu"
"Avarage stars count","Średnia ocena"
"opinions","opinii"
"avarage rating","pozytywnych opinii"
"SHOP INFO","INFORMACJE O SKLEPIE"
"DELIVERY & RETURNS","DOSTAWA I ZWROTY"
"Size table","Tabela rozmiarów"
"Close","Zamknij"
"About product","O produkcie"
"Product description","Opis produktu"
"Product reviews","Opinie o produkcie"
"review","opinie"
"down","dół"
"up","góra"
"* Required Fields","* Pola wymagane"
"Submit","Wyślij"
"Please enter the question text.","Prosimy u uzupełnienie pola z pytaniem."
"Please enter your name.","Prosimy o uzupełnienie pola z imieniem."
"Singular review","opinia"
"Zero reviews","opinii"
"Avarage","Średnia ocena"
"Product reviews count","Ilość opinii o produkcie"
"rating","ocena"
"Share your review with other users","Podziel się własną opinią z użytkownikami"
"Add your review","Dodaj opinię"
"Review written","Opinia napisana"
"by","przez"
"Product ratings","Cechy produktu"
"Your nickname","Twoje imię/nick"
"Do you recommend this product","Czy polecasz produkt"
"next","następna"
"Share","Podziel się"
"previous","poprzednia"
"Recommend product","Polecam produkt"
"Not recommend product","Nie polecam produktu"
"Recently viewed","ostatnio oglądane"
"Complete whole collection","SKOMPLETUJ CAŁOŚĆ"
"price","Cena"
"Add to<br />favorites","Dodaj<br />do ulubionych"
"Other colors","inne kolory"
"Product name","Nazwa produktu"
"Sku","Numer katalogowy"
"Sizes","Tabela rozmiarów"
"Select size","wybierz rozmiar"
"This field is required","To pole jest wymagane - prosimy o wprowadzenie wartości."
"Valid email is required.","Prosimy o wprowadzenie poprawnego adresu email."
"All star groups must be selected.","Wszystkie gwiazdki muszą być zaznaczone."
"Yes","Tak"
"No","Nie"
"Enter your nickname","Wprowadź Swój nick"
"Home","Strona główna"
"Shopping Cart","Twój koszyk"
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Kliknij tutaj aby kontynuować zakupy.</a>"
"Continue shopping at the mall.","Kontynuuj zakupy"
"In modago.pl you buy directly in vendor. You pay only once.","W Modago.pl kupujesz bezpośrednio u sprzedającego. Płacisz tylko raz."
"Shop","Sklep"
"Qty","Ilość"
"Worth","Wartość"
"In stock","Towar dostępny na magazynie"
"Last in stock","Ostatnie sztuki na magazynie"
"Out of stock","Brak towaru na magazynie"
"No stock info","Brak informacji o stanie magazynowym"
"Close","Zamknij"
"Empty cart","Wyczyść koszyk"
"Minimal shipping cost","Koszt dostawy od"
"Product total","WARTOŚĆ PRODUKTÓW ZE SKLEPU"
"Shipping rules and cost","Warunki i koszty dostawy"
"Unknown vendor","Nieznany dostawca"
"Learn more","Dowiedz się więcej"
"Available payment methods:","DOSTĘPNE FORMY ZAPŁATY:"
"Your shopping","ZAKUPY RAZEM"
"product(s)","produkty(ów)"
"Min shipping cost:","Koszt dostawy od:"
"Do you have promo code?","Czy posiadasz bon rabatowy?"
"Enter your coupon","Wpisz numer bonu..."
"Apply coupon","Zrealizuj"
"Total","Suma"
"Your coupon:","Twój kupon rabatowy:"
"Checkout","Kupuję"
"There is no items in your cart.","Twój koszyk jest pusty."
"There is nothing to apply.","Nie masz kuponu, który mógłby zostać użyty."
"Coupon code is invalid.","Wprowadzony kupon jest nieprawidłowy."
"Invalid email address ""%s"".","Nieprawidłowy adres e-mail ""%s""."
"Your question has been accepted for moderation.","Twoje pytanie do sprzedawcy zostało zapisane."
"Review summary can't be empty","Podsumowanie opinii nie może być puste"
"Nickname can't be empty","Twój nick nie może być pusty"
"Recommend product can't be unchecked","Musisz zaznaczyć pole czy polecasz ten produktu"
"Review can't be empty","Treść opinii nie może być pusta"
"Review","Opinia"
"Your review has been accepted for moderation.","Dziękujemy za dodanie opinii. Zostanie ona opublikowana po akceptacji modaratora."
"add to cart","dodaj do koszyka"
"Product has been added to cart:","Produkt został dodany do koszyka:"
"Go to shopping cart","Przejdź do koszyka"
"Review written by","Opinia napisana przez:"
"Load next <span>%s</span> products","ZOBACZ KOLEJNE <span>%s</span> PRODUKTÓW"
"Total products count:","Ilość produktów:"
"Sort by:","Sortuj:"
"Most popular first","Najpopularniejsze"
"New products first","Nowe produkty"
"Most expensive first","Najdroższe"
"Least expensive first","Najtańsze"
"Best rated","Najlepiej oceniane"
"Go up","Idź wyżej"
"Filter Products","Filtruj Produkty"
"Clear all filters","Wyczyść Filtry"
"back to category","wróć do kategorii"
"Clear","Wyczyść"
"Show more","Pokaż więcej"
"Select one","Wybierz..."
"Price","Cena"
"Prices in filter are not valid.","Prosimy o poprawne uzupełnienie cen w filtrze."
"Choose size first","Wybierz wpierw rozmiar"
"remove from favorites","usuń z ulubionych"
"You like this","Lubisz ten produkt"
"people like this product","osób lubi ten produkt"
"likes this product","lubi ten produkt"
"You and","Ty i"
"person","osoba"
"person like","osoba lubi"
"people likes","osoby lubią"
"people","osoby"
"people polish more than few likes","osób lubi"
"people polish more than few","osób"
"like this product","lubicie ten produkt"
"categories","kategorie"
"Back to main gallery","Wróć do galerii"
"You","Ty"
"Nowość","New"
"Bestseller","Bestseller"
"Promocja","Promotion"
"Wyprzedaż","Sale"
"this product","ten produkt"
"Currently Shopping:","Aktualnie oglądasz:"
"by:","według:"
"Invalid email address.","Nieprawidłowy adres email."
"Continue","Dalej"
"Your password reset link has expired.","Twój link resetujący hasło wygasł."
