"Add me to the newsletter","Add me to the newsletter"
"Custom e-mail template","Custom e-mail template"
"E-mail","E-mail"
"E-mail subject","E-mail subject"
"Inform me","Inform me"
"Product unavailable!","Product unavailable!"
"Sender e-mail","Sender e-mail"
"Sender name","Sender name"
"There was an error while processing your request. Please, try again.","There was an error while processing your request. Please, try again."
"This product is currently unavailable. Do you want to be informed when it will be available again?","This product is currently unavailable. Do you want to be informed when it will be available again?"
"You have already submitted the request to inform you when this product becomes available. Please wait patiently.","You have already submitted the request to inform you when this product becomes available. Please wait patiently."
"Your request has been sent.","Your request has been sent."
