"Status","Status"
"Choose campaign creative type","Choose campaign creative type"
"New campaign creative (%s)","New campaign creative (%s)"
"Name","Name"
"Content","Content"
"Box Image *","Box Image *"
"Box Image","Box Image"
"Box Image: url","Box Image: url"
"Main image","Main image"
"Main image: url","Main image: url"
"Small screen image","Small screen image"
"Small screen image: url","Small screen image: url"
"Max length is ","Max length is "
"Save","Save"
"Image is required","Image is required"
"This field is required.","This field is required."
"Top caption: url","Top caption: url"
"Top caption: text","Top caption: text"
"Bottom caption: url","Bottom caption: url"
"Bottom caption: text","Bottom caption: text"
"Edit","Edit"
"Max length is %s","Max length is %s"
