"Connected as %s","Zalogowano jako %s"
"Email: %s","Adres email: %s"
"Facebook id: %s","Facebook id: %s"
"Google id: %s","Google id: %s"
"Gender: %s","Płeć: %s"
"Birthday: %s","Urodziny: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Możesz połączyć swoje konto sklepu z kontem Facebook, dzięki temu logowanie będzie jeszcze szybsze!"
"You can connect store account with your Google account so you could login easier in the future.","Możesz połączyć swoje konto sklepu z kontem Google, dzięki temu logowanie będzie jeszcze szybsze!"
"Facebook login","Konto Facebook"
"Google login","Konto Google"
"Connect","Zaloguj"
"Disconnect","Wyloguj"
"Unable to retrieve access code.","Nie udało się pobrać kodu dostępu."
"Required HTTP method is not supported.","Wybrana metoda HTTP jest nieobsługiwana"
"Unspecified OAuth error occurred.","Wystąpił nieznany błąd OAuth"
"HTTP error %s occurred while issuing request.","Podczas wykonywania żądania wystąpił błąd HTTP %s"
"No refresh token, unable to refresh access token.","Brak kodu odświeżenia, nie można odświeżyć kodu dostępu"
"No access token available.","Nie można uzyskać kodu dostępu"
"Your Facebook account is now connected to your user account at our store. You can login next time by the Facebook login button or Store user account.","Twoje konto Facebook jest teraz połaczone z kontem użytkownika w naszym sklepie. Od teraz możesz się logować przez przycisk logowania Facebook lub przez konto galerii Modago."
"Your Google account is now connected to your user account at our store. You can login next time by Google Facebook login button or Store user account.","Twoje konto Google jest teraz połaczone z kontem użytkownika w naszym sklepie. Od teraz możesz się logować przez przycisk logowania Google lub przez konto galerii Modago."
"You have successfully logged in using your Facebook account.","Udane logowanie przez konto Facebook"
"You have successfully logged in using your Google account.","Udane logowanie przez konto Google"
"You have successfully disconnected your Facebook account from our store account.","Twoje konto Facebook zostało odłączone od konta galerii"
"You have successfully disconnected your Google account from our store account.","Twoje konto Google zostało odłączone od konta galerii"
"We find you already have an account at our store. Your Facebook account is now connected to your store account.","Wykryliśmy, że już posiadasz konto w naszej galerii. Twoje konto Facebook zostało połączone z tym kontem"
"We find you already have an account at our store. Your Google account is now connected to your store account.","Wykryliśmy, że już posiadasz konto w naszej galerii. Twoje konto Google zostało połączone z tym kontem"
"Sorry, could not retrieve your Facebook first name. Please try again.","Nie mogliśmy pobrać Twojego imienia z konta Facebook. Proszę spróbuj ponownie"
"Sorry, could not retrieve your Google first name. Please try again.","Nie mogliśmy pobrać Twojego imienia z konta Google. Proszę spróbuj ponownie"
"Sorry, could not retrieve your Facebook last name. Please try again.","Nie mogliśmy pobrać Twojego nazwiska z konta Facebook. Proszę spróbuj ponownie"
"Sorry, could not retrieve your Facebook email. Please try again and make sure you provide us your email address.","Nie mogliśmy pobrać Twojego adresu email z konta Facebook. Proszę spróbuj ponownie z zaznaczoną opcją udostępnienia nam Twojego adresu email."
"Sorry, could not retrieve your Google last name. Please try again.","Nie mogliśmy pobrać Twojego nazwiska z konta Google. Proszę spróbuj ponownie"
"Facebook login error occured, please try again.","Wystąpił błąd podczas logowania na konto Facebook. Proszę spróbować ponownie"
"Google login error occured, please try again.","Wystąpił błąd podczas logowania na konto Facebook. Proszę spróbować ponownie"
"Your Facebook account is already connected to one of our store accounts.","Twoje konto Facebook jest już połączone z innym kontem w naszej galerii"
"Your Google account is already connected to one of our store accounts.","Twoje konto Google jest już połączone z innym kontem w naszej galerii"
"Connect account","Połącz konto"
"Disconnect account","Rozłącz konto"
"Login","Zaloguj się"
"Log out","Wyloguj się"
"Your accounts are connected. Right now you can login using your Facebook account.","Twoje konta są połączone. Aktualnie możesz się zalogować za pomocą konta Facebook."
"Your accounts are connected. Right now you can login using your Google account.","Twoje konta są połączone. Aktualnie możesz się zalogować za pomocą konta Google."
"Connect your account to be able to login using Facebook account.","Połącz konta, aby móc się logować za pomocą konta Facebook."
"Connect your account to be able to login using Google account.","Połącz konta, aby móc się logować za pomocą konta Google."
