"GH API Settings","GH API Settings"
"Partner ID","Identyfikator partnera"
"API Login Data","Dane do logowania do API"
"API Key","Klucz API"
"API Password","Hasło do API"
"Minimum Length - 8 characters","Minimum Length - 8 characters"
"Leave empty for no change","Leave empty for no change"
"Informuj o zmianach w zamówieniu dotyczących:","Informuj o zmianach w zamówieniu dotyczących:"
"Pojawiło się nowe zamówienie do realizacji.","Pojawiło się nowe zamówienie do realizacji."
"Zamówienie zostało anulowane.","Zamówienie zostało anulowane."
"Zmieniła się metoda płatności w zamówienia lub/i zmieniła się się płatność do zamówienia.","Zmieniła się metoda płatności w zamówienia lub/i zmieniła się się płatność do zamówienia."
"Zmieniły się produkty lub koszt dostawy w zamówieniu. Produkty mogły być usunięte, dodane, zmieniona cena, ilość, rabat.","Zmieniły się produkty lub koszt dostawy w zamówieniu. Produkty mogły być usunięte, dodane, zmieniona cena, ilość, rabat."
"Zmieniła się metoda dostawy lub/i adres dostawy.","Zmieniła się metoda dostawy lub/i adres dostawy."
"Zmieniły się dane do faktury lub/i informacja czy faktura jest wymagana.","Zmieniły się dane do faktury lub/i informacja czy faktura jest wymagana."
"Zmienił się status zamówienia.","Zmienił się status zamówienia."


