"Delete autofill rule?","Skasować regułę uzupełniania?"
"Are you sure you want to delete this rule?","Na pewno chcesz skasować tę regułę?"
"Cancel","Anuluj"
"Remove autofill rule","Skasuj regułę uzupełniania"
"Remove rule","Skasuj regułę"
"Rule removed","Reguła skasowana"
"This autofill rule don't belongs to you","Ta reguła uzupełniania nie należy do Ciebie"
"Apply rules","Uruchom reguły"
"Currently you don't have saved any rules","Obecnie nie masz zapisanych żadnych reguł"
"Autofill rules processed %s products","Reguły uzupełniania cech zaktualizowały %s produktów"
"Please select any rules","Proszę wybrać przynajmniej jedną regułę uzupełniania"
"Technical error: You have no right to do this action","Błąd techniczny: nie masz praw do wykonania tej akcji"
"Save as rule","Zapisz jako regułę"
"Autofill rules","Reguły uzupełniania"
"Cancel","Cancel"
"Save","Save"
"Action","Action"
" and "," oraz "
" equal "," równy "
"Set value: <b>%s</b>","Ustawiana wartość: <b>%s</b>"
"For filter: ","Dla ustawień filtra: "
"Show details","Pokaż szczegóły"
"All products in current category","Wszystkie produkty w danej kategorii"
" like '%s'"," zawiera '%s'"
"Attribute to fill","Uzupełniana cecha"
"Apply rules to selected products","Zastosuj reguły dla zaznaczonych produktów"
"Some text here","Some text here"
" is empty"," jest pusty"
"Rules can be applied on selected products","Reguły mogą być wykonane tylko kiedy masz zaznaczone produkty"
"You don't have selected rules","Nie masz zaznaczonych żadnych reguł"
"You don't have selected products","Nie masz zaznaczonych żadnych produktów"
