"Integration FTP server","Integracyjny serwer FTP"
"Login","Login"
"Password","Hasło"
"Host","Host"
"GH Integrator Options","Parametry integratora"
"Integration Hours","Godziny integracji"
"Insert hours separated by commas<br />e.g. 10:00,12:00,13:00","Wstaw godziny rozdzielone przecinkami<br />np. 10:00,12:00,13:00"
"Description","Opis"
"Price","Cena"
"Stock","Stan magazynowy"
"GH Integrator Log","Log integratora API"
"Modago Integrator","Modago Integrator"
"Is integrator enabled","Czy integrator jest włączony"
"Secret key","Sekretny klucz"
"Last integration","Data ostatniej integracji"
