"Regulations accepted","Regulaminy zaakceptowane"
"Thank you for accepting regulations", "Dziękujemy za zaakceptowanie regulaminów"
"Regulations expired","Strona wygasła"
"File is now uploading. It can take a while","Plik jest teraz wgrywany. To może chwilę potrwać"
"download","pobierz"
"Uploaded file:","Wgrany plik:"
"An error occurred while deleting this type of document.","An error occurred while deleting this type of document."
"Document type &quot;%s&quot; was deleted.","Typ dokumentu &quot;%s&quot; został usunięty."
"An error occurred while deleting this document.","An error occurred while deleting this document."
"Please select acceptation type","Proszę wybrać sposób upoważnienia do akceptacji regulaminu"
"Document &quot;%s&quot; was deleted.","Dokument &quot;%s&quot; został usunięty."
"Wrong document file","Niepoprawny plik"
"Kind","Rodzaj"
"Type","Typ"
"Edit document: %s","Edycja dokumentu: %s"
"New document","Nowy dokument"
" --- choose document type --- "," --- wybierz typ dokumentu --- "
"File","Plik"
"Is valid from","Obowiązuje od"
"Document type name", "Nazwa typu dokumentu"
"Create new type of document","Utworzenie nowego typu dokumentu"
" --- choose document kind --- "," --- wybierz rodzaj dokumentu --- "
"Document kind","Rodzaj dokumentu"
"List of documents","Lista dokumentów"
"Add new document","Utworzenie nowego dokumentu"
"Date from","Data od"
"Edit","Edytuj"
"New document type","Nowy typ dokumentu"
"Vendor documents", "Dokumenty dla sprzedawcy"
"Documents kinds", "Rodzaje dokumentów"
"Documents types", "Typy dokumentów"
"Documents list", "Lista dokumentów"
"Create new kind of document", "Utworzenie nowego rodzaju dokumentu"
"Document kind name", "Nazwa rodzaju dokumentu"
"Remove", "Usuń"
"Details", "Szczegóły"
"Name", "Nazwa"
"New document kind", "Nowy rodzaj dokumentu"
"Are you sure?", "Czy jesteś pewien?"
"Document kind &quot;%s&quot; was deleted.", "Rodzaj dokumentu &quot;%s&quot; został usunięty."
"Edit document kind", "Edycja rodzaju dokumentu"
"Accept regulations","Akceptuję powyższe dokumenty"
"Accept regulation","Akceptacja regulaminu"
"I %s declare:","Ja %s oświadczam, że:"
"I am authorized to represent single %s","Jestem upoważniony do jednoosobowego reprezentowania %s"
"I am authorized to represent company single","Jestem upoważniony do jednoosobowego reprezentowania firmy"
"I have full powers to accept the regulations MODAGO","Posiadam pełnomocnictwo do zaakceptowania regulaminów MODAGO"
"Upload a scan of regulations","Załącz skan pełnomocnictwa"
"Download the regulations to become familiar with their content:","Pobierz regulaminy aby zapoznać się z ich treścią:"
"I %s %s  declare","Ja %s %s  oświadczam, że:"
"I accept the regulations","Zapoznałem się regulaminem MODAGO wraz z jego załącznikami oraz akceptuję jego treść co jest jednoznaczne z podpisaniem umowy pomiędzy Zolago Group Sp.z o.o. a %s o świadczeniu usług zgodnie z postanowieniami Regulaminu."
"File must be JPG, PNG or PDF","Plik musi być JPG, PNG lub PDF"
"File too large. File must be less than %sMB.","Plik jest zbyt duży. Musi być mniejszy niż %sMB."
"Scan of regulations","Załączony dokument"
"Cancel","Anuluj"
"Accept","Akceptuję"
"Regulations accepted by","Regulamin zaakceptowany przez login vendora"
"Send file error:", "Błąd w trakcie przesyłania pliku:"
"File too large.", "Zbyt duży plik"
"Internal server error.", "Błąd wewnętrzny serwera."
"Modago.pl regulation rules", "Obowiązujące warunki współpracy z Modago.pl"
"Regulation and attachments", "Regulamin i załączniki"
"is valid from", "obowiązuje od"
"was valid from", "obowiązywał od"
"show history", "pokaż historię"
"hide history", "ukryj historię"
"Regulation document settings", "Ustawienia regulaminów"
"Document type list", "Lista typów dokumentów"
"Assign type", "Przypisz typ"
"Type name", "Nazwa typu"
"Active from", "Obowiązuje od"
"Actions", "Akcje"
"Are regulations accepted","Regulaminy zaakceptowane"
"Confirmation request send date","Data wysłania prośby o akceptację"
"Acceptation date","Data akceptacji",
"Acceptation details","Szczegóły akceptacji",
"Overrides part of vendor_regulations_accept cms block","Nadpisuje część bloku cms o identyfikatorze: vendor_regulations_accept",
"Accept page top text","Tekst na górze strony akceptacji",
"Proxy assignment url","Link do pełnomocnictwa",
"Proxy assignment url text","Tekst linku do pełnomocnictwa",
"Agreement text","Treść zgody"
"Overrides default agreement text (next to checkbox)","Nadpisuje domyślną treść zgody na akceptację regulaminu (tekst obok checkboxa)"
"I have full powers to accept the %s regulations","Posiadam pełnomocnictwo do zaakceptowania regulaminów %s"
"Replaces %value% in this text: ","Zamienia %value% w tym tekście: "
"Proxy assignment text override","Nadpisanie nazwy w pełnomocnictwie"
"Regulation acceptance","Akceptacja regulaminu"
"Confirmation token","Token potwierdzający"

