"Incorrect file type provided","Przesłano nieprawidłowy rodzaj pliku"
"Invalid filter value: %s in line %s","Nieprawidłowa wartość filtra: %s w linii %s"
"Invalid filter type: %s in line %s","Nieprawidłowy typ filtra: %s w linii %s"
"Line %s in provided file has no filters","W linii %s przesłanego pliku brakuje filtrów"
"Skipped %s empty lines in provided file","Pominięto puste linie w przesłanym pliku (ilość: %s)"
"File contains rewrites which already exists in database. Lines: %s","Przesłany plik zawiera wpisy, które już istnieją w bazie danych. Zduplikowane linie: %s"
"Provided file is empty or corrupt","Przesłany plik jest pusty lub uszkodzony"
"No file provided","Nie przesłano pliku"
"Category with id %s does not exist","Kategoria o ID %s nie istnieje"
"File contains invalid store or category id","Plik zawiera nieprawidłowe id sklepu lub kategorii"
"Provided file contains duplicated lines: %s","Przesłany plik zawiera zduplikowane wartości w liniach: %s"
"File was imported successfully. Imported rewrites: %s","Plik został zaimportowany poprawnie. Dodano %s wpisów"
