"New E-Goi Customers","Nowi klienci E-Goi"
"Your APi Key","Twój klucz APi"
"To get your API Key, login into your E-goi.com panel, go to your user menu (upper right corner), select ""Integrations"" and copy the account API key.","To get your API Key, login into your E-goi.com panel, go to your user menu (upper right corner), select ""Integrations"" and copy the account API key."
"Language","Język"
"First Name","Imię"
"Last Name","Nazwisko"
"Email","Email"
"Username","Nazwa uzytkownika"
"Password","Hasło"
"Telephone Prefix","Prefiks tel"
"Telephone Number","Tel"
"Company","Firma"
"City","Miasto"
"Country","Kraj" 
"I agree with E-Goi terms and conditions","I agree with E-Goi terms and conditions"
"<a href=""http://bo.e-goi.com/termos_uso_en.php"" target=""_blank"" >Click here to read them</a>","<a href=""http://bo.e-goi.com/termos_uso_en.php"" target=""_blank"" >Click here to read them</a>"
"E-Goi Integration","E-Goi Integration"
"Setup","Setup"
"Welcome","Welcome"
"Information Channel","Kanal informacyjny"
"Bug Report","Bug Report"
"Request","Request"
"Other Information","Other Information"
"Contact Reason","Przyczyna kontaktu"
"Message","Wiadomość"
"Please be as descriptive as possible","Please be as descriptive as possible"
"Phone","Phone"
"Also include your country prefix","Also include your country prefix"
"Attach log file","Attach log file"
"No","No"
"Yes","Yes"
"This option will send the calls log made between Magento and E-Goi","This option will send the calls log made between Magento and E-Goi"
"Information","Information"
"Create New List","Create New List"
"Existing Stores","Existing Stores"
"Store View","Store View"
"Map Existing E-Goi Lists to your Magento Store Views","Map Existing E-Goi Lists to your Magento Store Views"
"Account Details","Account Details"
"Content","Content"
"Name","Name"
"Sender","Nadawca"
"Subject","Temat"
"160 characters limit. [<span id=""charsLeft"">160</span> left]","160 characters limit. [<span id=""charsLeft"">160</span> left]"
"Lists","Lists"
"Please Select","Please Select"
"Segment","Segment"
"Only apply if in the choosen segment","Only apply if in the choosen segment"
"Active From Date","Aktywne od"
"Active To Date","Aktywne do"
"Status","Status"
"Active","Aktywny"
"Inactive","Nieaktywny"
"fidelitas","Zawartość personalizowana"
"Template Body","Zawartość wzorca (personalizowana)"
"Settings","Ustawienia"
"Event Trigger","Event Trigger"
"Campaign","Kampania"
"No links detected in selected campaign","No links detected in selected campaign"
"Link","Link"
"Product ID","Product ID"
"Go to Product Listing","Go to Product Listing"
"When triggered","When triggered"
"After...","After..."
"Send Moment","Send Moment"
"After Hours","After Hours"
"After Days...","After Days..."
"Send Only Once?","Send Only Once?"
"Every Time Occurs","Every Time Occurs"
"To the same subscriber","To the same subscriber"
"New Status","New Status"
"Search Value","Search Value"
"Separate multiple values by comma ,","Separate multiple values by comma ,"
"Query String Match","Query String Match"
"Equal","równy"
"Contains","zawiera"
"Autoresponders Information","Autoresponders Information"
"Save and Continue Edit","Save and Continue Edit"
"Edit Autoresponder","Edit Autoresponder"
"Add Autoresponder","Add Autoresponder"
"ID","ID"
"Channel","Kanał"
"SMS","SMS"
"Event","Zdarzenie"
"N. Subscribers","N. Subscribers"
"Is Active?","Aktywny?"
"From Date","Od dnia"
"To Date","Do dnia"
"Autoresponders","Autorespondery"
"New Email Autoresponder","New Email Autoresponder"
"New SMS Autoresponder","New SMS Autoresponder"
"No campaigns have been sent yet.","No campaigns have been sent yet."
"Campaign Name","Nazwa kampanii"
"Deploy Started","Wdrożenie rozpoczęło się"
"-Not deployed yet-","-jeszcze nie wdrożone-"  
"Deploy Ended","Wdrożenie zakończone"
"Conversions","Konwersje"
"Conv. Amount","Kwota konwersji"
"Conv. AVG","Średnia konversja"
"Detail","Szczegóły"
"View","View"
"Reports","Raporty"
"Stand By","Oczekuje"
"Running","W trakcie"
"Finished","Zakończona"
"Error","Błąd"
"Date","Data"
"Order Amount","Kwota zamówienia"
"Order","Zamówienie"
"Customer","Klient"
"Subscriber","Subskrybent"
"Campaign Conversions","Konwersje z kampanii"
"Back","Wstecz"
"Mailing Information","Szczegóły mailingu"
"Advanced Options","Opcje zaawansowane"
"Campaign URL","URL kampanii"
"This is the URL from where the content will be fetched to show to the subscriber. If you set any, it's YOUR responsability to handle newsletter content in the provided URL.","To jest URL z którego kontent będzie pokazywany klientowi. Jeśli ustawisz tu jakiś URL będziesz musiał zadbać żeby kontent był tam właściwy przez cały czas kampanii."
"Campaign Information","Szczegóły kampanii"
"Internal Name","Nazwa wewnętrzna"
"This name helps you internally to identify this campaign","Ta nazwa pomaga wewnętrznie zidentyfikować kampanię."
"List","Lista"
"A new campaign will be created for each List selected","A new campaign will be created for each List selected"
"Subscribers Segment","Segment subskrybentów"
"Please note that this campaign will be sent to ALL subscribers from ALL selected segments, and not only to subscribers that are in all selected segments.","Pamiętaj, że ta kampania będzie rozesłana do klientów 
ze wszystkich segmentów a nie do klientów z części wspólnej
tych segmentów."
"Multiple Segments Behavior","Multiple Segments Behavior"
"This option only applies when you have multiple segments selected","This option only applies when you have multiple segments selected"
"Send only to subscribers that are in all selected Segments","Send only to subscribers that are in all selected Segments"
"Send to ALL subscribers in all selected segments","Send to ALL subscribers in all selected segments"
"Send At","Wysłane"
"This campaign has already runned for %d time(s)","This campaign has already runned for %d time(s)"
"Links Top","Links Top"
"Links Bottom","Links Bottom"
"Recurring Profile","Recurring Profile"
"Recurring Campaign?","Kampania powtarzalna?"
"Deploy Date","Data wdrożenia"
"In Which days?","Które dni?"
"Unique Receiver?","Unikalny odbiorca?"
"Use this option if you do not want this campaign to be sent to the same receiver more than once.","Use this option if you do not want this campaign to be sent to the same receiver more than once."
"In Which day?","In Which day?"
"In which day?","In which day?"
"In which month?","In which month?"
"Run around","Run around"
"Please choose the hour you want this profile to start running. Remember not to choose one hour with high traffic.","Please choose the hour you want this profile to start running. Remember not to choose one hour with high traffic."
"First Run","First Run"
"First time this campaign should run","First time this campaign should run"
"End Date","Data końcowa"
"How long should this campaing run.","How long should this campaing run."
"Running times","Running times"
"Stop sending when","Stop sending when"
"We achieve the ""End Date"" AND the ""Running Times"" number","We achieve the ""End Date"" AND the ""Running Times"" number"
"We achieve the ""End Date"" value","We achieve the ""End Date"" value"
"We achieve the ""Running Times"" number","We achieve the ""Running Times"" number"
"Campaigns","Kampanie"
"General","Ogólne"
"Sending Options","Opcje wysyłki"
"Links","Linki"
"Advanced","Zaawansowane"
"Children Campaigns","Children Campaigns"
"Follow Up Queue","Follow Up Queue"
"Follow Up Sents","Follow Up Sents"
"Save","Zapisz"
"Delete","Usuń"
"Email F","Email F"
"SMS F","SMS F"
"Cancel this campaign? This action can not be undone","Cancel this campaign? This action can not be undone"
"Cancel Campaign","Anuluj kampanię"
"Preview","Podgląd"
"Start the sending process now?","Start the sending process now?"
"Save & Send","Zapisz i wyślij"
"Duplicate & Save","Powiel i zapisz"
"New Campaign","Nowa kampania"
"Deploy Date/Next Run","Data wdrożenia/następne uruchomienie"
"Recurring","Powtarzająca się"
"Last Run","Ostatnie uruchomienie"
"Sent/Views/Clicks","Sent/Views/Clicks"
"Sent","Wysłane"
"U. Views","Obejrzało użytkowników"
"U. Clicks","Kliknęło użytkowników"
"New Email Campaign","Nowa kampania mailowa"
"New SMS Campaign","Nowa kampania SMS"
"List Name","Nazwa listy"
"Segment Name","Nazwa segmentu"
"Segment Type","Typ segmentu"
"Segments Conversions","Konwersje segmentu"
"Evolution","Zmiany"
"Records","Wpisy"
"This may take a few minutes if you have thousands of subscribers. Continue?","This may take a few minutes if you have thousands of subscribers. Continue?"
"Refresh Segment","Odśwież segment"
"CSV","CSV"
"Excel XML","Excel XML"
"Promotion Rule","Reguła promocji"
"Coupon Code","Coupon Code"
"Used","Used"
"Subscriber Email","Subscriber Email"
"Created at","Created at"
"Used at","Used at"
"N/A","N/A"
"Coupons","Coupons"
"Event Type","Event Type"
"Recipient","Recipient"
"Views","Views"
"Clicks","Clicks"
"Autoresponders Campaigns","Autoresponders Campaigns"
"View Schedule","View Schedule"
"Autoresponder","Autoresponder"
"Cellphone","Tel. komórkowy"
"Send at","Send at"
"Are you sure?","Are you sure?"
"Autoresponders Events","Autoresponders Events"
"View Campaigns","View Campaigns"
"Action","Action"
"View Customer","View Customer"
"Unique Conversions","Unique Conversions"
"Total Records","Ilość wpisów"
"Change","Change"
"View Records","View Records"
"Segments Evolutions Summary","Segments Evolutions Summary"
"Segments Evolutions","Segments Evolutions"
"Follow Ups","Follow Ups"
"the {{subject}} tag will be replaced by the original campaign subject","Tag {{subject}} będzie zastąpiony przez temat wpisany w danych kampanii"
"Send to subscribers that...","Wyśli do subskrybentów, którzy..."
"Send after X days","Wyślij po X dniach"
"Follow Up Message","Wiadomość Follow Up"
"Follow Up Information","Szczegóły Follow Up"
"Edit Follow Up","Edytuj Follow Up"
"Add Follow Up","Dodaj Follow Up"
"Follow Up","Follow Up"
"New Email Follow Up","New Email Follow Up"
"New SMS Follow Up","New SMS Follow Up"
"New Group","New Group"
"Previous Group","Previous Group"
"Updated at","Updated at"
"Operation","Operation"
"Added","Added"
"Reverted","Reverted"
"Revert Group","Revert Group"
"Assign a Customer Group","Assign a Customer Group"
"Group","Group"
"View (ID:' . $value . ","View (ID:' . $value . "
"Groups","Groups"
"Url","Url"
"Links Logs","Links Logs"
"List Information","Szczegóły listy"
"Is Active","Jest aktywna"
"Auto Add Customer","Automatyczne dodawanie klientów"
"Select this option if you wish that every new customer is added to this list automatically.","Wybierz tę opcję jeśli chcesz żeby każdy nowy klient został dodany do tej listy automatycznie."
"Default List","Lista domyślna"
"If no Store defined in current lists or customer created from Admin","Tylko jeśli niewybrano widoku sklepu lub klient został założony w adminie"
"Edit List '%s'","Edycja listy '%s'"
"Add List","Dodaj listę"
"List Title","Nazwa listy"
"Stores","Witryny"
"Subscribers","Subskrybenci"
"Total Subscribers","Total Subscribers"
"View Subscribers","Obejrzyj subskrybentów"
"Report Information","Report Information"
"Location","Location"
"Applications","Applications"
"Domains","Domains"
"Social","Social"
"Report Details. Last update: %s","Report Details. Last update: %s"
"Campaign Internal Name","Campaign Internal Name"
"Returned","Returned"
"Unique Clicks","Unique Clicks"
"Not Opened","Not Opened"
"Recommendations","Recommendations"
"Total Countries","Total Countries"
"Sent Date","Wysłano dnia"
"Details","Details"
"Segmentation","Segmentacja"
"Customers Segment","Segment klientów"
"Conditions","Reguły"
"Customer Groups","Grupy klientów"
"Groups Information","Dane o grupie"
"Auto Update","Autoaktualizacja"
"Activate this field if you want the Customer Group for clients in this segment to change Automatically. When a customer leaves this segment, his customer group will be reverted to the previous he had before entering this segment","Activate this field if you want the Customer Group for clients in this segment to change Automatically. When a customer leaves this segment, his customer group will be reverted to the previous he had before entering this segment"
"Daily","Codziennie"
"Weekly","Co tydzień"
"Monthly","Co miesiąc"
"New Customer Group","Nowa grupa klientów"
"Choose the new customer group for customers in this segment. This option only works if the Auto Update field is different from No","Choose the new customer group for customers in this segment. This option only works if the Auto Update field is different from No"
"Priority","Priorytet"
"This option is very important because a customer can be in more than one segment. So the customer group from the segment with higher priority will prevail","This option is very important because a customer can be in more than one segment. So the customer group from the segment with higher priority will prevail"
"Preserve Customer Group","Preserve Customer Group"
"Do not change customers group if their current group is one of the selected above","Do not change customers group if their current group is one of the selected above"
"Segment Information","Dane o segmencie"
"Description","Opis"
"Update","Aktualizacja"
"Use this option if you want to keep track of subscribers evolution in this segment.","Użyj tej opcji jeśli chcesz śledzić zmiany subskrybentów w tym segmence."
"Edit Customers Segment '%s'","Edycja segmentu klientów '%s'"
"Add Customers Segment","Dodaj segment klientów"
"Records (est. All lists)","Ilość wpisów (wszystkie listy)"
"Update Subs.","Aktualizacja subskrybentów"
"Last Update","Ostatnia aktualizacja"
"Segments","Segmenty"
"This may take several minutes if you have thousands of subscribers.  Continue?","This may take several minutes if you have thousands of subscribers.  Continue?"
"This will refresh your segment next time your cron runs. Continue?","This will refresh your segment next time your cron runs. Continue?"
"Background Refresh Segment","Background Refresh Segment"
"Add Segment","Add Segment"
"Subject A","Subject A"
"Sender A","Sender A"
"Subject B","Subject B"
"Sender B","Sender B"
"Test Deploy Date","Test Deploy Date"
"Send General Campaign after X days","Send General Campaign after X days"
"Percentage Emails Send Test","Percentage Emails Send Test"
"How to determine winner","How to determine winner"
"Split Campaign","Split Campaign"
"Email A","Email A"
"Email B","Email B"
"Send Test A","Wyślij test A"
"Send Test B","Wyślij test B"
"Edit Split Campaign","Edit Split Campaign"
"Add Split Campaign","Add Split Campaign"
"General Send At","General Send At"
"Views A | B","Wyświetlenia A | B"
"Clicks A | B","Kliki A | B"
"Conversions A | B","Konwersje A | B"
"Winner","Winner"
"Splits","Splits"
"Subscriber Conversions","Subscriber Conversions"
"Subscriber information","Subscriber information"
"Cellphone Prefix","Cellphone Prefix"
"Cellphone Number","Cellphone Number"
"Gender","Gender"
"Birth Date","Birth Date"
"Send Confirmation Email","Send Confirmation Email"
"Subscriber Information","Subscriber Information"
"Add Subscriber","Dodaj subskrybenta"
"List Store View","List Store View"
"Emails Sent","Maile wysłane"
"Email Views","Maile obejrzane"
"SMS Delivered","Dostarczone SMS"
"Report Details","Szczegóły raportu"
"Templates Information","Informacje o wzorcu"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Edit Template","Edycja wzorca"
"Add Template","Dodaj wzorzec"
"Templates","Wzorce"
"Visit time","Czas wizyty"
"Urls Logs","Urls Logs"
"Your request has been sent","Your request has been sent"
"If you don't have an E-Goi account please %s. If you want to know more about E-Goi %s","If you don't have an E-Goi account please %s. If you want to know more about E-Goi %s"
"If you don't have an E-Goi account please %s","If you don't have an E-Goi account please %s"
"If you already have an E-Goi account please %s","If you already have an E-Goi account please %s"
"You don't have any verified sender in you account.","You don't have any verified sender in you account."
"Senders Imported Successfully!!!","Senders Imported Successfully!!!"
"We where sorry, but we didn't find any new senders in your account.","We where sorry, but we didn't find any new senders in your account."
"You can not assign the same List to different stores","You can not assign the same List to different stores"
"Success!!! Please wait while we setup the environment. Don\'t close or refresh this page.","Success!!! Please wait while we setup the environment. Don\'t close or refresh this page."
"Data will be synced next time cron runs","Data will be synced next time cron runs"
"Success!!!","Sukces!!!"
"Apikey invalid","Apikey invalid"
"Success!!! Please wait while we setup the environment. Don't close or refresh this page.","Success!!! Please wait while we setup the environment. Don't close or refresh this page."
"An error occurred while trying to create your account. Please try again","An error occurred while trying to create your account. Please try again"
"E-Goi","E-Goi"
"Invalid Autoresponder Type","Invalid Autoresponder Type"
"New","Nowy"
"Autoresponder does not exist","Autoresponder does not exist"
"The Autoresponder has been saved.","The Autoresponder has been saved."
"An error occurred while saving the Autoresponders data. Please review the log and try again.","An error occurred while saving the Autoresponders data. Please review the log and try again."
"The Autoresponder has been deleted.","The Autoresponder has been deleted."
"An error occurred while deleting the Autoresponder. Please review the log and try again.","An error occurred while deleting the Autoresponder. Please review the log and try again."
"Unable to find a Autoresponder to delete.","Unable to find a Autoresponder to delete."
"Invalid Newsletter Type","Invalid Newsletter Type"
"This campaign is now closed. You can't modify it. Click on 'Duplicate & Save' to duplicate it and edit.","This campaign is now closed. You can't modify it. Click on 'Duplicate & Save' to duplicate it and edit."
"Campaign does not exist","Campaign does not exist"
"The campaign has been duplicated. You are now working on the duplicated one","The campaign has been duplicated. You are now working on the duplicated one"
"The campaign has been saved.","The campaign has been saved."
"An error occurred while saving the campaign data. Please review the log and try again.","An error occurred while saving the campaign data. Please review the log and try again."
"The campaign has been deleted.","The campaign has been deleted."
"An error occurred while deleting the campaign. Please review the log and try again.","An error occurred while deleting the campaign. Please review the log and try again."
"Unable to find a campaign to delete.","Unable to find a campaign to delete."
"Campaign Not Found","Campaign Not Found"
"This is a recurring campaign. It will only run on schedule","This is a recurring campaign. It will only run on schedule"
"This campaign has segments or will be sent to multiple Lists. Because of that it will have to be sent next time your cron runs.","This campaign has segments or will be sent to multiple Lists. Because of that it will have to be sent next time your cron runs."
"Campaign Sent Successfully!","Campaign Sent Successfully!"
"The campaign has been canceled.","The campaign has been canceled."
"An error occurred while canceling the campaign. Please review the log and try again.","An error occurred while canceling the campaign. Please review the log and try again."
"Unable to find a campaign to cancel.","Unable to find a campaign to cancel."
"Please select event(s).","Please select event(s)."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Invalid Follow Up Type","Invalid Follow Up Type"
"Campaign not found","Campaign not found"
"Follow Up does not exist","Follow Up does not exist"
"You can't create follow ups for recurring campaigns. Follow Up is inactive.","You can't create follow ups for recurring campaigns. Follow Up is inactive."
"The Follow Up has been saved.","The Follow Up has been saved."
"An error occurred while saving the Follow Up data. Please review the log and try again.","An error occurred while saving the Follow Up data. Please review the log and try again."
"The Follow Up has been deleted.","The Follow Up has been deleted."
"An error occurred while deleting the Follow Up. Please review the log and try again.","An error occurred while deleting the Follow Up. Please review the log and try again."
"Unable to find a Follow Up to delete.","Unable to find a Follow Up to delete."
"Please select customer(s).","Please select customer(s)."
"Total of %d record(s) were reverted.","Total of %d record(s) were reverted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"This rule no longer exists.","This rule no longer exists."
"New List","Nowa lista"
"List was successfully saved","List was successfully saved"
"Unable to find List to save","Unable to find List to save"
"Report not ready yet","Report not ready yet"
"This segment no longer exists.","This segment no longer exists."
"New Segment","Nowy segment"
"Edit Segment","Edytuj segmant"
