"%s was successfully added to your shopping cart.","Produkt %s został dodany do Twojego koszyka."
"&laquo; Back to Billing Information","&laquo; Wróć do informacji o płatności"
"&laquo; Back to Select Addresses","&laquo; Wróć do wyboru adresów"
"&laquo; Back to Shopping Cart","&laquo; Wróć do koszyka"
"* Required Fields","* wymagane pola"
"Add New Address","Dodaj nowy adres"
"Add New Condition","Dodaj nowy warunek"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj listy życzeń"
"Address","Adres"
"Address %s of %s","Adres %s z %s"
"After adding a product redirect to shopping cart","Po dodaniu produktu przekieruj do koszyka"
"Allow Guest Checkout","Zezwól na zamówienia składane przez niezalogowanych"
"Already registered?","Masz już konto?"
"An error occurred in the process of payment","W procesie płatności wystąpił błąd"
"Apply Coupon","Zastosuj kupon"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Back","Powrót"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje rozliczeniowe"
"Billing Information - %s","Informacje o płatności - %s"
"Can not add item to shopping cart","Nie można dodać produktu do koszyka"
"Can not apply coupon code.","Nie można zastosować kodu z kuponu."
"Can't open overview page","Nie można otworzyć strony z przeglądem"
"Cancel Coupon","Anuluj kupon"
"Cannot remove item","Nie można usunąć produktu"
"Cannot update shopping cart","Nie można zaktualizować koszyka"
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Cart Subtotal:","Wartość produktów:"
"Change","Zmień"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkbox text","Tekst pola do zaznaczenia"
"Checkout","Zamówienie"
"Checkout Conditions","Warunki zamówienia"
"Checkout Options","Opcje zamówienia"
"Checkout Section","Sekcja zamówienia"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"Checkout as Guest","Złóż zamówienie bez zakładania konta"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"Checkout method","Metoda zamówienia"
"Checkout with Multiple Addresses","Zamówienie z wieloma adresami"
"City","Miasto"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kliknij <a href=%s"" onclick=""this.target='_blank'"">tu aby wydrukować</a> kopię potwierdzenia złożenia zamówienia."""
"Close","Zamknij"
"Company","Firma"
"Condition Name","Nazwa warunku"
"Condition was successfully deleted","Warunek został usunięty"
"Condition was successfully saved","Warunek został zapisany"
"Configurable product image","Obrazek konfigurowalnego produktu"
"Confirm Password","Potwierdź hasło"
"Content","Zawartość"
"Content Height","Wysokość zawartości"
"Content Height (css)","Wysokość zawartości (css)"
"Continue","Kontynuuj"
"Continue Shopping","Przeglądaj dalej"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Review Your Order","Kontynuuj, aby przejrzeć swoje zamówienie"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Country","Kraj"
"Coupon code ""%s"" is not valid.","%s"" nie jest prawidłowym kodem kuponu."""
"Coupon code ""%s"" was applied successfully.","Kod ""%s"" został pomyślnie użyty."
"Coupon code was canceled successfully.","Kod kuponu został anulowany."
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Customer Address is not valid.","Adres klienta jest niepoprawny."
"Data saving problem","Problem podczas zapisywania danych"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Delete Condition","Usuń warunek"
"Details","Szczegóły"
"Disable Onepage Checkout","Wyłącz składanie zamówienia na jednej stronie"
"Disabled","Wyłączone"
"Discount Codes","Kody rabatowe"
"Display Cart Summary","Wyświetl podsumowanie koszyka"
"Display Shopping Cart Sidebar","Wyświetlaj koszyk w pasku bocznym"
"Display item quantities","Wyświetlaj ilości produktów"
"Display number of items in cart","Wyświetlaj ilość produktów w koszyku"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Edit","Edytuj"
"Edit Address","Edytuj adres"
"Edit Billing Address","Edycja adresu rozliczeniowego"
"Edit Items","Edytuj produkty"
"Edit Shipping Address","Edytuj adres dostawy"
"Edit Terms and Conditions","Edytuj warunki składania zamówienia"
"Edit Your Cart","Edytuj koszyk"
"Email Address","Adres e-mail"
"Enable Terms and�Conditions","Włącz warunki sprzedaży"
"Enabled","Włączone"
"Enter a New Address","Dodaj nowy adres"
"Enter your coupon code if you have one.","Wpisz kod kuponu rabatowego, jeżeli masz jakiś."
"Enter your destination to get a shipping estimate.","Wpisz miejsce docelowe, aby sprawdzić koszt dostawy."
"Error while deleting this condition. Please try again later.","Błąd podczas usuwania warunku. Spróbuj później."
"Error while saving this condition. Please try again later.","Błąd podczas zapisywania warunku. Spróbuj później."
"Estimate Shipping and Tax","Koszt dostawy i podatku"
"Excl. Tax","Bez podatku"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Faks"
"Forgot an Item?","Zapomniałeś dodać produkt?"
"Forgot your password?","Nie pamiętasz hasła?"
"Get a Quote","Otrzymaj wycenę"
"Grand Total:","Łącznie:"
"Grouped product image","Obrazek grupowanego produktu"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Z podatkiem"
"Invalid data","Nieprawidłowe dane"
"Invalid email address ""%s""","Nieprawidłowy adres e-mail ""%s"""
"Invalid shipping method.","Błędna metoda dostawy."
"Items","Elementy"
"Load customer quote error","Błąd wczytywania zapytania klienta"
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Logowanie"
"Manage Checkout Terms and Conditions","Zarządzaj warunkami składania zamówienia"
"Maximum display Recently added item(s)","Maksymalna ilość wyświetlanych ostatnio dodanych produktów"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksymalna ilość produktów, którą można dostarczyć do różnych adresów to %s"
"Move to Wishlist","Przenieś do listy życzeń"
"My Account","Moje konto"
"My Cart","Mój koszyk"
"My Cart (%s item)","Koszyk (%s)"
"My Cart (%s items)","Koszyk (%s)"
"My Cart Link","Link do mojego koszyka"
"New Address","Nowy adres"
"New Condition","Nowy warunek"
"Order #","Zamówienie nr "
"Order Review","Podgląd zamówienia"
"Order Success","Zamówienie zostało przyjęte"
"Other items in your order","Inne produkty w twoim zamówieniu"
"Password","Hasło"
"Payment Failed Email Reciever","Odbiorca e-maila o nieudanej płatności"
"Payment Failed Email Sender","Nadawca e-maila o nieudanej płatności"
"Payment Failed Emails","E-maile o nieudanej płatności"
"Payment Failed Template","Szablon e-maila nieudanej płatności"
"Payment Information","Informacje o płatności"
"Payment Method","Forma płatności"
"Payment method is not defined","Metoda płatności nie została wybrana"
"Place Order","Złóż zamówienie"
"Please <a href=""%s"">continue shopping</a>.","Kliknij tu aby <a href=""%s""> kontynuować zakupy</a>."
