"%s already exist","%s juĹĽ istnieje"
"%s already exists","%s juĹĽ istnieje"
"-- Please Select --","-- Prosimy wybraÄ‡ --"
"Add Block Names to Hints","Dodaj nazwy blokĂłw do podpowiedzi"
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"Admin","Administrator"
"Admin Base URL","Bazowy URL dla administratora"
"Admin User Emails","E-maile administracyjne"
"Advanced","Zaawansowane"
"Allow countries","DopuĹ›Ä‡ kraje"
"Allowed IPs (comma separated)","Dozwolone IP (oddzielone przecinkami)"
"Are you sure?","Czy na pewno tego chcesz?"
"Back","PowrĂłt"
"Backup options","Opcje kopii zapasowej"
"Base JavaScript URL","Bazowy URL dla JavaScript"
"Base Link URL","Podstawowy URL dla linkĂłw"
"Base Media URL","Bazowy URL dla mediĂłw"
"Base Skin URL","Bazowy URL skórki"
"Base URL","Bazowy URL"
"Before modifying the store view code please make sure that it is not used in index.php","Przed modyfikacjÄ… kodu widoku sklepu upewnij siÄ™, ĹĽe nie jest on uĹĽywany w index.php"
"Before modifying the website code please make sure that it is not used in index.php","Przed modyfikacjÄ… kodu strony sklepu upewnij siÄ™, ĹĽe nie jest on uĹĽywany w index.php"
"Block with name ""%s"" already exists","Blok o nazwie %s"" juĹĽ istnieje"""
"Blocks HTML output","Gotowe bloki HTML"
"Can't retrieve request object","Nie moĹĽna pobraÄ‡ ĹĽÄ…danego obiektu"
"Can't retrieve entity config: %s","Nie moĹĽna pobraÄ‡ konfiguracji jednostki: %s"
"Cancel","Anuluj"
"Cannot Delete Email Template","Nie moĹĽna usunÄ…Ä‡ szblonu e-mail"
"Cannot complete this operation from non-admin area.","Nie moĹĽna ukoĹ„czyÄ‡ tej operacji z nieadministracyjnego obszaru."
"Category object is required for determining product request path","Obiekt kategorii jest wymagany do okreĹ›lenia wywoĹ‚ania produktu"
"Code","Kod"
"Collections Data","Dane kolekcji"
"Configuration","Konfiguracja"
"Controller file was loaded but class does not exist","Plik kontrolera zostaĹ‚ zaĹ‚adowany jednak klasa nie istnieje"
"Cookie Domain","Domena dla cookie"
"Cookie Lifetime","Czas ĹĽycia cookie"
"Cookie Path","ĹšcieĹĽka dla cookie"
"Copyright","Prawa autorskie"
"Countries options","Opcje krajĂłw"
"Create Store","UtwĂłrz sklep"
"Create Store View","UtwĂłrz widok sklepu"
"Create Website","UtwĂłrz witrynÄ™"
"Current package name","Nazwa obecnego pakietu"
"Custom Design","Indywidualny wyglÄ…d"
"Custom admin URL","Indywidualny adres URL admina"
"Custom email 1","Niestandardowy e-mail 1"
"Custom email 2","Niestandardowy e-mail 2"
"Customer support","Wsparcie dla klienta"
"Date From","Data od"
"Date To","Data do"
"Date/time format ""%s"" is not supported.","Format daty/czasu %s"" nie jest obsĹ‚ugiwany."""
"Debug","Debuguj"
"Default","DomyĹ›lny"
"Default Description","DomyĹ›lny opis"
"Default Keywords","DomyĹ›lne sĹ‚owa kluczowe"
"Default Pages","DomyĹ›lne strony"
"Default Robots","DomyĹ›lne roboty"
"Default Store","DomyĹ›lny sklep"
"Default Store View","DomyĹ›lny widok sklepu"
"Default Title","DomyĹ›lny tytuĹ‚"
"Default country","DomyĹ›lny kraj"
"Default no-route url","DomyĹ›lny URL dla braku adresu"
"Default web url","DomyĹ›lny URL sieciowy"
"Delete","UsuĹ„"
"Delete Store","UsuĹ„ sklep"
"Delete Store View","UsuĹ„ widok sklepu"
"Delete Website","UsuĹ„ witrynÄ™"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","UsuniÄ™cie %1$s nie spowoduje usuniÄ™cia informacji przypisanych do %1$s (np. kategorii,produktĂłw itp). Sugeruje siÄ™ utworzenie kopii bazy danych przed skasowaniem %1$s."
"Design","WyglÄ…d"
"Design Change","Zmiana wyglÄ…du"
"Developer","Programista"
"Developer Client Restrictions","Ograniczenie dostÄ™pu programisty"
"Disable email communications","Zablokuj komunikacje poprzez e-mail"
"Disable modules output","Zablokuj wyjĹ›cie moduĹ‚Ăłw"
"Duplicate Of Template Code","Duplikat kodu szablonu"
"Edit Design Change","Edycja zmiany wyglÄ…du"
"Edit Store","Edytuj sklep"
"Edit Store View","Edycja widoku sklepu"
"Edit Website","Edytuj witrynÄ™"
"Empty identifier field name","Pusty identyfikator pola nazwa"
"Empty main table name","Pusta nazwa gĹ‚Ăłwnej tabeli"
"Enabled","WĹ‚Ä…czone"
"Enabled for Admin","WĹ‚Ä…czone dla Panelu Administracyjnego"
"Enabled for Frontend","WĹ‚Ä…czone dla Katalogu"
"Error in file: ""%s"" - %s","BĹ‚Ä…d w pliku: %s"" - %s"""
"Error while saving. Please try again later.","BĹ‚Ä…d podczas zapisywania. Prosimy sprĂłbowaÄ‡ ponownie pĂłĹşniej."
"Error: Passwords do not match","BĹ‚Ä…d: podane hasĹ‚a nie sÄ… jednakowe"
"Exceptions Log File Name","Nazwa pliku log dla wyjÄ…tkĂłw"
"First Day of Week","Pierwszy dzieĹ„ tygodnia"
"Footer","Stopka"
"Forgot Password Email Sender","Nadawca wiadomoĹ›ci o zapomnianym haĹ›le"
"Forgot Password Email Template","Szablon wiadomoĹ›ci o zapomnianym haĹ›le"
"General","OgĂłlne"
"General Settings","Ustawienia ogĂłlne"
"General contact","Kontakt ogĂłlny"
"Global","Globalny"
"HTML Head","NagĹ‚Ăłwek HTML"
"Header","NagĹ‚Ăłwek"
"Host","Host"
"Id path for specified store","Identyfikator Ĺ›cieĹĽki dla okreĹ›onego sklepu"
"Incorrect credit card expiration date","NieprawidĹ‚owa data wygaĹ›niÄ™cia karty"
"Invalid base url type","NieprawidĹ‚owy typ bazowego adresu"
"Invalid block name to set child %s: %s","NieprawidĹ‚owa nazwa bloku dla ustawienia podrzÄ™dnego %s: %s"
"Invalid block type: %s","NieprawidĹ‚owy typ bloku: %s"
"Invalid block: %s","NieprawidĹ‚owy blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","NieprawidĹ‚owy argument aktualizacji wyglÄ…du, oczekiwano Mage_Core_Layout_Element"
"Invalid layout update handle","NieprawidĹ‚owa obsĹ‚uga aktualizacji wyglÄ…du"
"Invalid messages storage ""%s"" for layout messages initialization","NiesprawidĹ‚owe przechowywanie wiadomoĹ›ci %s"" dla inicjalizacji wiadomoĹ›ci ukĹ‚adu"""
"Invalid transactional email code: ","NieprawidĹ‚owy kod e-maila sprzedaĹĽowego: "
"Invalid websites configuration path: %s","NieprawidĹ‚owa konfiguracja Ĺ›cieĹĽki strony: %s"
"Layout","UkĹ‚ad"
"Layouts","Szablony"
"Leave empty for access from any location","Pozostaw puste, aby umoĹĽliwiÄ‡ dostÄ™p z kaĹĽdej lokalizacji"
"Locale","Kod jÄ™zyka"
"Locale options","Opcje lokalizacji"
"Log Settings","Ustawienia logĂłw"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logowanie z Mage::log(). Plik jest znajduje siÄ™ wÂ {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logowanie z Mage::logException(). Plik znajduje siÄ™ wÂ {{base_dir}}/var/log"
"Logo Image Alt","ALT dla obrazka logo"
"Logo Image Src","SRC dla obrazka logo"
"Manage Stores","ZarzÄ…dzaj sklepami"
"Match expressions in the same order as displayed in the configuration.","WskaĹĽ wyraĹĽenia w porzÄ…dku w jakim wystÄ™pujÄ… one w konfiguracji."
"Miscellaneous HTML","RĂłĹĽny HTML"
"Miscellaneous scripts","RĂłĹĽne skrypty"
"Model class does not exist: %s","Model klasy nie istnieje: %s"
"Model collection resource name is not defined","Nazwa modelu kolekcji zasobĂłw nie zostaĹ‚a zdefiniowana"
"Module ""%1$s"" can not be depended from ""%2$s""","ModuĹ‚ ""%1$s"" nie moĹĽe byÄ‡ zaleĹĽny od ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","ModuĹ‚ ""%1$s"" wymaga moduĹ‚u ""%2$s"""
"Name","Nazwa"
"New Design Change","Nowa zmiana wyglÄ…du"
"New Store","Nowy sklep"
"New Store View","Nowy widok sklepu"
"New Website","Nowa witryna"
"No","Nie"
"Package","Paczka"
"Please choose to register or to checkout as a guest","Prosimy o rejestracjÄ™ lub zĹ‚oĹĽenie zamĂłwienia jako goĹ›Ä‡"
"Please define flag code.","Prosimy o zdefiniowanie kodu flagi."
"Please enter 6 or more characters.","Prosimy o wprowadzenie 6 lub wiÄ™cej znakĂłw."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prosimy o wprowadzenie 6 lub wiÄ™cej znakĂłw. PoczÄ…tkowe lub koĹ„cowe spacje zostanÄ… zignorowane."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru wiÄ™kszego od 0 w tym polu."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykĹ‚ad $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prosimy o wprowadzenie poprawnego URL. Dla przykĹ‚adu: http://www.strona.pl lub www.strona.pl"
"Please enter a valid URL. http:// is required","Prosimy o wprowadzenie poprawnego URL. http:// jest wymagane"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid date.","Prosimy o wprowadzenie poprawnej daty."
