"Manage Feeds","Zarządzanie feedami"
"Manage Templates","Zarządzanie wzorcami"
"Manage Filters","Zarządzanie filtrami"
"Manage Dynamic Attributes","Zarządzanie atrybutami dynamicznymi"
"Manage Category Mapping","Zarządzanie mapowaniami kategorii"
"Report By Product Feeds","Raporty według feedów"
"Report By Products","Raporty według produktów"
"Add Feed","Dodaj feed"
"Last Generated At","Data ostatniego generowania"
"Ready","Gotowy"
"Generate Feed","Rozpocznij generację"
"Is Active","Jest aktywny"
"Feed Access Url","Url do pobrania feeda"
"Last Generated","Data statniego generowania"
"Generation Time", "Czas generowania"
"Count Products","Liczba produktów"
"Feed Information","Dane ogólne"
"Content Settings","Konfiguracja zawartości"
"Scheduled Task","Harmonogram wykonania"
"FTP Settings","Konfiguracja FTP"
"Additional","Konfiguracja dodatkowa"
"Edit Feed %s","Edycja feeda %s"
"Feed Pattern","Konfiguracja wzorca"
"not set","nieustawione"
"Product Filters","Filtr na produkty"
"Performance Filters","Filtr na efektywność"
"Current Time","Bieżący czas"
"Last cron run time","Ostatnie wykonanie crona"
"Last feed job run time","Ostatnie generowanie feeda"
"Protocol","Protokół"
"Email Notifications","Powiadomienia mailem"
"Email Addresses","Adresy email"
"Emails","Mail w przypadku"
"Successfull Generation","Udanego generowania"
"Unsuccessful Generation","Nieudanego generowania"
"Successfull Delivery","Udanego dostarczenia"
"Unsuccessful Delivery","Nieudanego dostarczenia"
"Export Configuration","Konfiguracja eksportu"
"Export Only New Products","Eksportuj tylko nowe produkty"
"Reports Configuration","Konfiguracja raportów"
"Enable Reports","Włącz raportowanie"
"If enabled, extension append to product url two special arguments (fee=, fep=) for track clicks and orders","Jeśli raortowanie jest włączone do linka produktowego zostanie dołączona para specjalnych parametrów (fee=, fep=) do śledzenia klików i konwersji"
"Content Filter","Filtrowanie zawartości"
"Allowed Characters","Dozwolone znaki"
"Ignored Characters","Ignorowane znaki"
"Title","Status"
"Settings","Konfiguracja"
"Continue","Kontynuuj"
"Empty Template","Pusty wzorzec"
"Template","Wzorzec"
"File Type","Typ pliku"
"Fields Delimiter","Separator pól"
"Fields enclosure",""
"Include Header","Dołącz nagłowek" 
"Extra header","Dodatkowy nagłowek"
"Comma","przecinek"
"Colon","dwukropek"
"Vertical Pipe","pałka (vertical pipe)"
"Space","spacja"
"Semi-Colon","średnik"
"Fields Mapping","Mapowanie pól"
"Field Name","Nazwa pola"
"Output Type","Zwracany typ"
"Symbols Limit","Ograniczenie"
"Add Row","Dodaj wiersz"
"Others Attributes","Inne atrybuty"
"Mapping","Mapowania"
"Stock Attributes","Atrybuty magazynowe"
"Custom Attributes","Atrybuty dynamiczne"
"Prices & Taxes","Ceny i podatki"
"Primary Attributes","Atrybuty podstawowe"
"Import Templates","Importuj wzorce"
"Add Template","Dodaj wzorzec"
"Export Template","Eksportuj wzorzec"
"Import Information","Importuj dane"
"Add Filter","Dodaj filtr"
"Filter Type","Typ filtra"
"Feeds","Feedy"
"Filter Information","Konfiguracja filtra"
"Product Filter","Filtr na produkty"
"Performance Filter","Filtr na efektywność"
"Rules","Reguły"
"Filter was successfully saved","Filtr został zapisany"
"Filters (leave blank for select all products)","Reguły (pozostaw puste jeśli chcesz wybrać wszystkie produkty)"
"Edit Filter '%s'","Edycja filtra '%s'"
"Edit Feed '%s'","Edycja feeda '%s'"
"Save Filter","Zapisz filtr"
"Attribute code","Kod atrybutu dynamicznego"
"Add Attribute","Dodaj atrybut"
"Attribute Name","Nazwa atrybutu"
"Attribute Conditions","Reguły atrybutu"
"Output Value","Wartość wynikowa"
"Add New Value","Dodaj nową wartość"
"Add Sub Condition","Dodaj podregułę"
"Pattern","Wzorzec"
"Attibute Value","Wartość atrybutu"
"Add New Mapping","Dodaj nowe mapowanie"
"Category Mapping","Mapowanie kategorii"
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.","Raport zależy od konfiguracji strefy czasowej. Po zmianie strefy czasowej należy odświeżyć statystyki."
"To refresh statistics, click here.","Aby odświeżyć statysykę kliknij tutaj."
"Feed Report","Raport efektywności"
"Filter","Filtr"
"Empty Rows","Puste wiersze"
"Please, select feed and period equal to day to view performance graph.","Proszę wybrać feed i okres obejmujący dzień aby zobaczyć wykres efektywnościowy"
"Number of Clicks","Liczba klików"
"Revenue","Sprzedaż"
"Feed Id","Id. feeda"
"Product Price","Cena produktu"
"Show Report","Pokaż raport"
"Feed was successfully saved", "Feed został zapisany"
"Host Name","Nazwa hosta"
"Edit Feed","Edycja feeda"
"Edit Filter","Edycja filtra"
"Item was successfully saved","Dane zapisano"

