"All order items are invoiced","Wszystkie produkty na zamówieniu zostały zafakturowane"
"Authentication","Uwierzytelnianie"
"Cannot find product with SKU: %s (External order id: %s)","Nie można znaleźć produktu o SKU: %s (Zewnętrzne ID zamówienia: %s)"
"Cannot save shipment. Order was changed on Modago.pl.","Nie można zapisać dostawy ponieważ zamówienie zostało zmienione po stronie Modago.pl"
"Configuration error. Integration is disabled","Błąd konfiguracji. Integracja jest wyłączona"
"Default Config","Domyślna konfiguracja"
"End process","Proces zakończony"
"Error: %s","Błąd: %s"
"Error: Cannot check order %s (%s) status","Błąd: Nie można sprawdzić statusu zamówienia %s (%s) w Modago.pl"
"Error: confirming messages field (%s) for list (%s)","Błąd: potwierdzenie odbioru listy komunikatów (%s) nie powiodło się (%s)"
"Error: downloading list of changed orders fail (%s)","Błąd: Pobranie listy zmienionych zamówień nie powiodło się (%s)"
"Error: getting order %s failed (%s)","Błąd: Pobranie zamówienia %s nie powiodło się (%s)"
"Error: Getting token failed (%s)","Błąd: Ustalenie tokenu nie powiodło się (%s)"
"Error: Modago order %s tracking info cannot be saved","Błąd: Nie można zapisać informacji o wysyłce dla zamówienia Modago %s"
"Error: Modago order %s tracking info cannot be saved because there is no carrier mapping for %s","Błąd: Wysyłka zamówienia Modago %s nie może być zapisana ponieważ nie skonfigurowano mapowania dla kuriera %s"
"Error: no info about order %s","Błąd: Brak informacji o zamówieniu %s"
"Error: no response from API server","Błąd: brak odpowiedzi z serwera API"
"Error: order %s can not be canceled. %s","Błąd: Zamówienie %s nie może być anulowane. %s"
"Error: order %s not found.","Błąd: Nie znaleziono zamówienia nr %s."
"Error: Order %s (%s) was changed","Błąd: Zamówienie Modago %s (%s) zostało zmienione"
"Error: sending track info to Modago API fail (%s)","Błąd: Wysłanie informacji o wysyłce do Modago API nie powiodło się (%s)"
"Event date","Data zdarzenia"
"Integrator","Integracja"
"Login error","Błąd logowania"
"Map %s to","Mapuj %s z"
"Message","Wiadomość"
"Modago integrator logs","Logi integratora Modago"
"Not xml document (%s)","Dokument nie jest w formacie xml (%s)"
"Order have status %s","Zamówienie ma status %s"
"Order list empty","Lista zamówień pusta"
"Payment has review status","Payment has review status [PL]"
"Price source","Źródło ceny"
"Process error: see exception log","Błąd procesu: więcej informacji w logach systemu"
"Secret key","Sekretny klucz"
"Shop/Language whose price is charged","Sklep/Język z którego pobierana jest cena"
"Success: downloading list of changed orders return empty list","OK: lista zmienionych zamówień jest pusta"
"Success: downloading list of changed orders return list (%s)","OK: Pobrano listę zmienionych zmaówień (%s)"
"Success: getting info about order %s","OK: Pobrano informacje o zamówieniu %s"
"Success: Modago order %s tracking send","OK: Informacje o wysyłce dla zamówienia %s zostały wysłane"
"Success: order %s (%s) was created","OK: Zamówienie %s (%s) zostało utworzone"
"Success: order (%s) was  canceled.","OK: Zamówienie (%s) zostało anulowane"
"Success: successfully confirmed list of messages (%s)","OK: Poprawnie odebrano listę komunikatów (%s)"
"Vendor ID","ID sklepu"
"Modago logs","Logi Modago"
"Creating orders from Modago","Ustawienia importu zamówień z Modago"
"Enabled","Włączone"
"API Password","Hasło API"
"Store for new orders","Sklep dla nowych zamówień"
"In this store new orders will be created","Nowe zamówienia będą zakładane w wybranym sklepie"
"Map payment method 'cash on delivery' to","Mapuj metodę płatności 'płatność przy odbiorze' z"
"Which payment method is your cash on delivery method","Która z twoich metod płatności odpowiada płatności przy odbiorze"
"Keep logs for","Zachowuj logi przez"
"Days","Dni"
"Your carriers:","Twoi kurierzy"
"error_password_invalid","niepoprawne hasło lub hasło niezdefiniowane w panelu sprzedawcy"
"error_webapikey_invalid"," niepoprawny lub nieaktywny klucz API"
"error_vendor_inactive","niepoprawna wartość identyfikatora sprzedawcy lub nieaktywny sprzedawca"
