"Ask about product","Zapytaj o produkt"
"Size label","Rozmiar"
"Featured products","Polecane produkty"
"Click to inform when available.","Kliknij, aby otrzymać powiadomienie o dostępności."
"Choose unavailable size to show query form","Wybierz niedostępny rozmiar, aby zobaczyć odpowiedni formularz."
"Product %s size {{size}} is temporarily unavailable.","Produkt %s o rozmiarze {{size}} jest chwilowo niedostępny."
"Send your address email to inform about availability.","Zostaw nam swój adres e-mail a poinformujemy Cię jak znów będzie dostępny."
"Inform when available","Powiadom o dostępności"
"I want to get newsletter from WojcikFashion.com","Chcę otrzymywać newsletter WojcikFashion.com"
"Than you for using our information system. We will send you an email when product will be available again.","Dziękujemy za skorzystanie z naszego systemu powiadomień. Jak tylko produkt będzie dostępny, wyślemy do Ciebie e-mail z informacją."
"You have already submitted the request to inform you when this product becomes available. You cant do it again.","Już wcześniej prosiłeś o powiadomienie dotyczące tego produktu.  Nie możesz zapisać się drugi raz."
"%s size %s","%s rozmiar %s"
