"Error: Empty token","Błąd: Brak tokenu"
"Error: Wrong token","Błąd: Nieprawidłowy lub wykorzystany token"
"Error: System error during request":"Wystąpił błąd systemu! Spróbuj ponownie później."
"Info: Email changed","Adres email został zmieniony"
"New email address will be set after confirmation. Check your new-email account. Change request expires after %s hours.","Nowy adres email zostanie ustawiony po jego potwierdzeniu. Sprawdź wiadomości na nowo podanym koncie pocztowym. Link potwierdzający zostanie unieważniony po %s godzinach."
"Cannot save the customer.","Nie można zapisać zmian."
"Cannot send email","Błąd przy wysyłaniu wiadomości email"
"Confirm new Email address","Potwierdź zmianę adresu email"
"Do you have account already?", "Masz już u nas konto?"
"Log in to access your order history and shipping addresses", "Zaloguj się by mieć dostęp do historii zamówień i danych do wysyłki."
"Email address", "Adres e-mail"
"Password", "Hasło"
"Access favourites without login", "Dostęp do ulubionych stron bez ciągłego logowania."
"Remember Me", "Zapamiętaj mnie"
"Login", "Zaloguj się"
"You don't remember password?","Nie pamiętasz hasła?"
"Login and password are required.","Adres email oraz hasło są wymagane."
"You have been logged in", "Zalogowałeś się poprawnie"
