"Category","Kategorie"
"Commission Percent (per item)","Procent prowizji (za sztukę)"
"Default Commission Percent","Domyślny procent prowizji"
"Default commission percent (per item)","Domyślny procent oprowizji (za sztukę)"
"Lower commission percent (per item)","Procent obniżonej prowizji (za sztukę)"
"Default lower commission percent","Domyślny procent obniżonej prowizji"
"Default lower commission percent (per item)","Domyślny procent obniżonej prowizji (za sztukę)"
"Default lower commission percent for products","Domyślny obniżony procent prowizji dla produktów"
"Basic rates Definition","Definicja stawek podstawowych"
"Additional rates Definition","Definicja stawek dodatkowych"
"Marketing charges enabled","Czy obowiązują opłaty marketingowe"
"Terminal percent for charge lower commission","Graniczny procent naliczania obniżonej prowizji"
"Commission for the sale will be calculated for products which have a lower selling price of n-percent strikeout price","Prowizja dla wyprzedaży będzie wyliczana dla produktów, które mają cenę sprzedaży mniejszą o n-procent od ceny przekreślonej"
"Default value: %.2F. Commission for the sale will be calculated for products which have a lower selling price of n-percent strikeout price. Leave empty for default","Domyślne: %.2F. Prowizja dla wyprzedaży będzie wyliczana dla produktów, które mają cenę sprzedaży mniejszą o n-procent od ceny przekreślonej. Pozostaw puste aby użyć wartości domyślnej"
