"Customer new question confirmation", "Potwierdzenie wysłania zapytania do sklepu"
"This field is required","To pole jest wymagane - prosimy o wprowadzenie wartości."
"Order","Kolejność"
"Action","Akcja"
"View","Zobacz"
"Product","Produkt"
"Save","Zapisz"
"Cancel","Anuluj"
"* Required Fields","* Pola wymagane"
"Valid email is required.","Prosimy o wprowadzenie poprawnego adresu email."
"Submit","Wyślij"
"Your Name","Twoje imię"
"Your Email","Twój adres e-mail"
"Your Question","Twoje pytanie"
"Select vendor","Wybierz sprzedawcę"
"This field is required.","To pole jest wymagane"
"Order id","ID zamówienia"
"Unable to post the question.","Nie można wysłać zapytania"
"Pending Questions/Answers","Pytania/Odpowiedzi oczekujące"
"All Questions/Answers","Wszystkie pytania/odpowiedzi"
"Question Status","Status zapytania"
"Vendor","Sprzedawca"
"Answer Date","Data odpowiedzi"
"Answer Status","Status odpowiedzi"
"Context","Kontekst"
