"Default Attribute Set", "Domyślny zestaw cech"
"Add to Attribute Set", "Dodaj do zestawu cech"
"Use in Category Mapping", "Użyj w mapowaniu kategorii"
"Pleae select Attribute Set", "Proszę wybrać zestaw cech"
"Error while adding %s attribute to Attribute Set", "Błąd podczas dodawania atrybutu %s do zestawu cech"
"Grid Permission", "Uprawnienia dla Grida"
"Do not use","Nie używaj"
"Use in additional filter", "Użyj w filtrze dodatkowym"
"Display in Grid","Wyświetl w Gridzie"
"Edition","Edycja"
"Inline Edition","Edycja Inline"
"Only Text and Dropdown attributes can used in Grid Static Filter","Tylko attrybut typu: Pole Tekstowe i List rozwijana może być użyty w Filtrze Statycznym Grida"
