"Category Mapper", "Mapowanie kategorii"
"Run all", "Uruchom wszystkie"
"Create mapper", "Dodaj mapownie"
"Add to queue", "Dodaj do kolejki"
"Mapper added to rebuild queue","Mapowanie dodane do kolejki"
"Mapper index", "Indeks produktów i kategorii mapowania"
"The mapper has been saved.","Mapper został zapisany"
"Please select valid mappers","Wybrane mapowania nie są prawidłowe"
"%s mappers added to rebuild queue","%s mapery dodano do kolejki"
"%s mappers added to rebuild queue, %s row skipped","%s mapery dodano do kolejki, %s wiersze pominięto"
"An error occurred while adding mappers to queue","Wystąpił błąd podczas dodawania mapowania do kolejki"
"The mapper has been saved.","Zapisano mapowanie."
"This mapper is not correct. Set it again and save","Jest problem z tym mapowaniem. Ustaw wszystkie warunki i zapisz."
