"My account", "Moje konto"
"Listing", "Listing"
"Frontend", "Interfejs klienta"
"Load on start", "Załaduj na start"
"Append when scroll", "Dodaj przy skrollowaniu"
"Load more offset", "Ilość do ładowania kolejnych"
"Pixels before append", "Ilość pixeli przed pokazaniem kolejnych"
"Review written", "Opinia napisana"
"Product name", "Nazwa produktu"
"Shipping cost", "Koszt dostawy"
"Go to brandshop homepage", "Przejdź do strony głównej sklepu"
"Go to vendor homepage", "Przejdź do strony głównej sprzedawcy"
"Select your bank","Wybierz swój bank"
