"Details", "Szczegóły"
"Password", "Hasło"
"Confirm password", "Potwierdź hasło"
"First name", "Imię"
"Last name", "Nazwisko"
"Privileges", "Uprawnienia"
"Role", "Role"
"Allowed POS", "Dozwolone POS"
"Save operator", "Zapisz operatora"
"Edit operator", "Edycja operatora"
"Operators list", "Lista operatorów"
"Operator login", "Login"
"Create operator", "Stwórz operatora"
"Edit", "Edytuj"
"Action","Akcja"
"Operators", "Operatorzy"
"Current POS", "Bieżący POS"
"There is no operators", "Brak operatorów"
"Agents", "Operatorzy"
"Agents list", "Operatorzy systemu"
"Browse agents list","Przeglądaj i edytuj operatorów"
"Create agent","Załóż operatora"
"Phone", "Telefon"
"Details","Szczegóły"
"Edit agent %s","Edycja operatora %s"
"Mass Operator","Zarządzanie opisami i zdjęciami produktów"
"Product Operator","Zarządzanie cenami produktów"
"RMA Operator","Obsługa RMA"
"Order operator","Obsługa zamówień"
"Helpdesk","Obsługa helpdesk"
"Marketing officer", "Zarządzanie kampaniami"
