"You can not Add Payment to order with actual status","Nie możesz wprowadzić płatności do zamówienia w tym statusie"
"The order is already paid.","Zamówienie jest już opłacone."
"Enter smaller amount.","Wprowadź mniejszą kwotę."
"There is no such PO","Nie istnieje takie zamówienie"
"The order should be paid.","Zamówienie powinno być zapłacone."
"Order Pick Up has been successfully confirmed.","Odbiór został potwierdzony."
"Entered pick-up payment. Amount: %s","Wprowadzono zapłatę do odbioru w punkcie. Kwota: %s"
"Confirmed pick-up order","Potwierdzono odebranie zamówienia w punkcie odbioru"
"Enter Payment (Pick-Up)","Wprowadź płatność (Punkt odbioru)"
"Enter a payment amount","Wprowadź kwotę płatności"
"Payment amount can not be more than total order sum - %s","Kwota płatności nie może być większa niż sumaryczna wartość zamówienia - %s"
"Are you sure you want to confirm Pick Up?","Czy na pewno chcesz potwierdzić odbiór zamówienia w punkcie odbioru?"
"Confirm Pick Up","Potwierdź odbiór w punkcie"
"Enter Payment","Wprowadź płatność"
"Address","Adres"
"Pick Up payment created","Płatność do odbioru w punkcie została poprawnie utworzona"
"There was a technical error. Please contact shop Administrator.","Wystąpił błąd techniczny. Prosimy skontaktuj się z administratorem sklepu"
"Lack of DHL Settings", "Brak konfiguracji DHL"
"Correctly written a new delivery address to InPost locker.","Poprawnie zapisano nowy adres dostawy do paczkomatu InPost"
"Custom dim.", "Paczka NST"
"I have no Track ID", "Chcę utworzyć list przewozowy"
"Please contact Shop Administrator", "Proszę skontaktować się z administratorem sklepu"
"Price Incl. Tax", "Cena brutto"
"Shipping date", "Data nadania"
"Shipment", "Przesyłka"
"You missed 1 field. It has been highlighted.", "Pominięto 1 wymagane pole. Zostało ono podkreślone."
"You missed {{errors}} fields. They have been highlighted.", "Pominięto {{errors}} pól. Zostały one podkreślone"
"Pending collection","Oczekuje na spakowanie"
"Pending payment","Oczekuje na zapłatę"
"Collecting and packing","W trakcie pakowania"
"Pending acceptance","Oczekuje na potwierdzenie"
"Pending stock check","Oczekuje na rezerwację"
"Problem","Problem"
"Packed and label printed","Spakowane"
"Payment","Płatność"
"Messages / new","Wiadomości / nowe"
"Compose message","Napisz wiadomość"
"Fullname","Imię i nazwisko"
"View all messages","Zobacz wszystkie wiadomości"
"Price incl. tax","Cena (z podatkiem)"
"Final price","Cena końcowa"
"POS Qty","Ilość w POS"
"Add new item","Dodaj produkt"
"You can split selected items out to another order. First select items.","Możesz wydzielić wybrane produkty do osobnego zamówienia. Najpierw zaznacz produkty."
"Split order","Podziel zamówienie"
"Bill of sale","Paragon"
"Click pencil icon if you need an invoice.","Kliknij ikonę ołówka jeśli potrzebujesz faktury dla klienta."
"Start packing","Zacznij pakowanie"
"Packing started","Pakowanie rozpoczęte"
"Stock not checked","Rezerwacja niepotwierdzona"
"Stock checked","Rezerwacja potwierdzona"
"Check stock","Potwierdź rezerwację produktów"
"I confirm the items have been reserved","Potwierdź rezerwację produktów"
"Confirm reservation", "Potwierdź rezerwację"
"Move to fulfilment","Skieruj do realizacji"
"You are about to move to fulfilment. Are you sure?","Czy na pewno chcesz skierować zamówienie do realizacji?"
"Order moved to fulfilment. Note that stock check is cleared.","Zamówienie skierowane do realizacji. Zauważ, że rezerwacja została odwołana."
"Add item","Dodaj produkt"
"Choose a product","Wybierz produkt"
"Item added","Dodano produkt"
"Max. ship. date","Max. data wysyłki"
"Max ship. date","Max. data wysyłki"
"Max. shipment date","Max. data wysyłki"
"Shipment date","Data wysyłki"
"Order change log","Historia zmian zamowienia"
"Add comment","Dodaj komentarz"
"Shipment is not possible in this order status. Process order to right status or wait for payment.","Wysyłka zamówienia jest niemożliwa w tym statusie. Zmień status zamówienia lub zaczekaj na płatność."
"Print shipping label","Wydrukuj list przewozowy"
"Create shipping label","Wystaw list przewozowy"
"Insert carrier name and tracking number or enter data for label printing","Wprowadź dane do listu przewozowego"
"Dispatch date","Data wysyłki"
"Package type","Typ przesyłki"
"Dimensions (cm)","Wymiary"
"Width (cm)","Szerokość"
"Height (cm)","Wysokość"
"Length (cm)","Długość"
"NST Package","Czy przesyłka NST"
"Proceeding will cancel the shipment. Are you sure?","Czy na pewno chcesz anulować przesyłkę i list przewozowy?"
"Shipping canceled.","Przesyłka anulowana."
"Firstname","Imię"
"Lastname","Nazwisko"
"Invaild zip code","Niepoprawny kod pocztowy"
"Edit shipping address","Zmiana adresu wysyłki"
"Address changed","Adres został zmieniony"
"Edit billing address","Zmiana adresu faktury"
"Sales document","Dokument sprzedaży"
"Vat Id","NIP"
"Save Address","Zapisz adres"
"Restore original","Przywróć oryginalny"
"The last item cannot be deleted. You can delete it when you add another item or cancel the order.","Ostatni produkt nie może być usunięty. Możesz go usunąć po dodaniu następnego produktu. Możesz też anulować całe zamówienie."
"Change POS","Zmień POS"
"If you want change POS only for selective products split order before.","Jeśli chcesz zmienić POS dla wybranych produktów - wydziel je najpierw do osobnego zamówienia (przycisk Podziel zamówienie)."
"My orders","Moje zamówienia"
"Browse your orders","W tym panelu możesz przeglądać, modyfikować i wysyłać zamówienia do klientów. Znajdź zamówienie i kliknij je, aby wejść w szczegóły."
"Filters","Filtry"
"Apply filter ","Filtruj"
"Payment status","Status płatności"
"Shipping method","Metoda dostawy"
"Order No.","Numer zam."
"Order date","Data zam."
"Order items","Produkty zamówienia"
"Send customer message","Wyślij wiadomość do klienta"
"Send","Wyślij"
"SKU: %s - Price: %s","SKU: %s - Cena: %s"
"Check","Zaznacz"
"Order date","Data zam."
"Save address","Zapisz adres"
"Edit item","Edycja linijki"
"--- Select ---","--- Wybierz ---"
"per page.","na stronie."
"Cancel","Anuluj"
"POS has been changed.","POS został zmieniony"
"Total %d records found.","Znaleziono %d rekord(ów)."
"You are about to change status from %s to %s. Are you sure?","Zamierzasz zmienić status zamówienia z <b>%s</b> na %s. Jesteś pewien?"
"Status has been changed", "Status zmieniono"
"Proceeding will cancel the shipment. It will remove dispatch ref. Are you sure?", "Czy na pewno chcesz anulować przesyłkę i list przewozowy? Czynność usunie także zbiorówkę!"
"Dispatch list of shipments created from %s to %s", "Potwierdzenie nadania przesyłek za okres od %s do %s"
"Date and time of create: %s", "Data i czas utworzenia: %s"
"Address :%s", "Adres :%s"
"Courier: %s", "Kurier: %s"
"Phone: %s", "Tel.: %s"
"Page %s from %s", "Strona %s z %s"
"Terminal: %s", "Terminal nadawczy: %s"
"No.", "Lp."
"Tracking number", "Nr przesyłki/paczki"
"Shipment items", "Elementy przesyłki"
"Europalets", "Europalet"
"Receiver | Additional services | Value", "Odbiorca | Usługi dodatkowe | Dekl. wart (zł)"
"Sent", "Wysłano"
"COD", "Pobranie"
"Sender:", "Nazwa nadawcy:"
"Shipment count:","Liczba przesyłek:"
"Product reservation not yet confirmed!", "Rezerwacja produktów jeszcze nie potwierdzona!"
"Set aside the ordered items together with other reservations, to make sure they are available and ready to be shipped. The order will not be processed until you confirm the product reservation", "Odłóż zamówione przez Klienta produkty do zarezerwowanych, tak żeby były na pewno dostępne i gotowe do wysyłki. Zamówienie nie może być realizowane dopóki nie potwierdzisz dokonanie rezerwacji."
"Are you sure to confirm the items have been reserved?", "Czy na pewno chcesz potwierdzić rezerwację produktów z zamówienia?"
"You have confirmed reservation", "Rezerwacja potwierdzona."
"Items reserved", "Produkty zarezerwowane"
"You can browse and print your dispatch lists to be signed by the courier", "Przeglądaj i drukuj zbiorówki listów przewozowych dla kuriera. Nie zapomnij zatwierdzić zbiorówki po podpisaniu przez kuriera."
"Dispatch ref.", "Numer<br>zbiorówki"
"Dispatch lists", "Zbiorówki"
"Download report", "Pobierz wydruk"
"Confirm shipment", "Potwierdź wysyłkę"
"Do you want to remove %s?", "Czy na pewno chcesz usunąć pozycję %s?"
"Cancel", "Anuluj"
"Order has been split. New order: #%s.", "Zamówienie zostało podzielone. Nowe zamówienie: #%s."
"If you want to change the contents (shipments) in dispatch list you can delete the dispatch list and make a new one in order list grid.", "Jeśli chcesz usunąć bądź dodać listy przewozowe do zbiorówki usuń całą zbiorówkę i zrób nową z poziomu listy zamówień."
"There are another orders from the same customer. Click the %s to see all the customer orders.", "Istnieją inne zamówienia od tego samego klienta. Kliknij %s by je zobaczyć."
"There is another order from the same customer. Click the %s to see the customer order.", "Istnieje inne zamówienie od tego samego klienta. Kilknij %s by je zobaczyć."
"link", "link"
"Another order from same customer", "Inne zamówienie od tego klienta"
"There is an alert on the order. In spite of the alert you can move the order to fulfilment by accepting the order.", "Z zamówieniem związany jest alert. Możesz mimo to zaakceptować zamówienie i skierować je do realizacji."
"Accept the order", "Akceptuj zamówienie"
"Print shipping letter", "Drukuj list przewozowy"
"Make dispatch list","Wystaw zbiorówkę"
"Order list","Lista zamówień"
"Created date","Data utworzenia"
"Paid", "Opłacone"
"Not paid","Nieopłacone"
"Not Paid","Nieopłacone"
"Not confirmed","Niepotwierdzone"
"Purchase Order: %s has currently dispatch ref.","Zamówienie: %s jest juz na zbiorówce"
"Purchase Order(s) have different POSes","Zamówienia są przypisane do różnych POS"
"Dispatch list removed","Usunięto zbiorówki(ę)"
"Shipping label","List<br>przewozowy"
"Dispatch ref. confirmed","Zbiorówka została powierdzona."
"Shipping canceled.","Przesyłka skasowana."
"Sender: %s", "Nazwa nadawcy: %s"
"Operator eCas: %s", "Operator eCas: %s"
"Id eCas: %s", "Id eCas: %s"
"SAP: %s", "SAP: %s"
"Shipment count: %d", "Ilość przesyłek: %d"
"Items under 31,5 kg: %d", "Elementów do 31,5 kg: %d"
"DR items: %d", "Elementów DR: %d"
"Customer signature" ,"Podpis klienta"
"COD value: %.2f", "Kwota COD: %.2f zł"
"Europalets: %d", "Ilość Europalet %d"
"DHL09 items: %d", "Elementów DHL09"
"DHL12 items: %d", "Elementów DHL12"
"DHL signature", "Podpis pracownika DHL"
"Sender signature", "Podpis klienta"
"Tracking no.","Nr listu przewozowego"
"Comment added","Komentarz dodany"
"Add shipping label","Utwórz list przewozowy"
"No records found","Nie znaleziono żadnych rekordów"
"Phone","Telefon"
"Postcode","Kod pocztowy"
"Country","Kraj"
"Carrier","Kurier"
"Shipping address","Adres dostawy"
"Product","Produkt"
"Please enter valid DHL zip code","Proszę podać poprawny kod pocztowy DHL"
