"Cannot edit shipping address in this status", "Nie można edytować adresu w tym statusie"
"Cannot add comment in this status", "Nie można dodać komentarza w tym statusie"
"Pending courier booking","Oczekuje na zamówienie kuriera"
"Pending courier pick up","Oczekuje na nadanie przesyłki"
"Shipped, pending delivery","Oczekuje na przesyłkę"
"Pending","Nowe"
"Pending resolution","W trakcie wyjaśniania"
"Accepted","Potwierdzona realizacja"
"Rejected","Odrzucona realizacja"
"Closed - accepted","Zamknięte - zrealizowane"
"Closed - rejected","Zamknięte - niezrealizowane"
"Shipment received/delivered","Otrzymana przesyłka"
"Status changed (%s&rarr;%s)", "Zmiana statusu (%s&rarr;%s)"
"Tracking status changed (%s&rarr;%s)", "Zmiana statusu wysyłki (%s&rarr;%s)"
"Tracking added (Creator: %s, Carrier: %s, Number: %s)", "Numer śledzenia dodany (Twórca: %s, Przwoźnik: %s, Numer: %s)"
"New RMA created", "Utworzono zgłoszenie RMA"
"Origin shipping address restored", "Przywrócono adres dostawy z zamówienia"
"Origin billing address restored", "Przywrócono adres płatnika z zamówienia"
"Shipping address changed (%s)", "Zmiana adresu dostawy (%s)"
"Billing address changed (%s)", "Zmiana adresu płatnika (%s)"
"Not Exceeded","Nieprzekroczona"
"Exceeded","Przekroczona"
"Response deadline","Maksymalna data reakcji"
"Move back", "Wstecz"
"Choose items that you want to return or complaint", "Wybierz produkty które chesz zwrócić lub zareklamować"
"Additional informations (optional)", "Dodatkowe informacje dotyczące zgłoszenia (opcjonalnie)"
"Select a reason...", "Wybierz powód..."
"Order: #%s", "Zamówienie: %s"
"Return reason", "Powód zwrotu"
"Do You really want to leave RMA process?", "Czy na pewno chesz przerwać proces składania reklamacji/zwrotu?"
"Choose the date","Wybierz datę"
"Select the time interval (min. 3h)","Wybierz przedział czasowy (min. 3h)"
"Enter your account number for your order refund","Podaj numer konta bankowego, na które chcesz otrzymać zwrot zapłaty"
"Check again inserted data.","Sprawdź jeszcze raz poprawność wszystkich danych."
"Note carrier pickup date.","Zapisz sobie termin odbioru przesyłki przez kuriera"
"RMA Content", "Treść zgłoszenia",
"Your address","Twój adres",
"Pickup date","Termin odbioru"
"Bank account for return","Numer konta do zwrotu"
"Additional informations","Dodatkowe informacje"
"No delivered orders","Brak dostarczonych zamówień"
"between %s and %s","między %s a %s"
"Courier","Kurier"
"Return reason","Powód zwrotu"
"Create new RMA","Zgłoś zwrot lub reklamację"
"You don't have active RMAs.","Nie masz aktywnych zgłoszeń."
"Your returns and complaints","Twoje zwroty i reklamacje"
"RMA no. %s", "Zgłoszenie nr %s"
"Progress status", "Status realizacji"
"Vednor contact", "Skontaktuj się ze sklepem"
"There is no RAM comments", "Brak komentarzy do zgłoszenia"
"History", "Historia"
"Carrier date", "Termin kuriera"
"between %s and %s", "między %s a %s"
"Your address", "Twój adres"
"Cancel RMA", "Anuluj zgłoszenie"
"Download a document", "Pobierz dokument"
"Return reason","Powód zwrotu"
"RMA Details","Szczegóły RMA"
"Order details","Szczegóły zamówienia"
"RMA date","Data RMA"
"Customer","Klient"
"RMA Status","Status RMA"
"RMA Reason","Przyczyna RMA"
"View","Przeglądaj"
"Save","Zapisz"
"From", "Od"
"To","Do"
"RMA No.","Numer RMA"
"RMA Items","Produkty w RMA"
"Refund payment","Zwrot płatności"
"Customer return","Zwrot klienta"
"Date delivered","Dostarczono dnia"
"Product Name","Nazwa produktu"
"Customer comment","Komentarz klienta"
"Reason","Przyczyna"
"RMA change log",Historia zmian RMA"
"Change status / add comment","Zmień status / dodaj komentarz"
"Notify customer","Wyślij do klienta"
"Shipments","Przesyłki"
"There is no tracking label","Brak listów przewozowych"
"Full name","Imię i nazwisko"
"Bank account","Konto bankowe"
"Postcode","Kod pocztowy"
"Country","Kraj"
"RMA is not available", "Zgłoszenie nie jest dostępne"
"You need to login", "Musisz się zalogować"
"VIEW DETAILS","ZOBACZ SZCZEGÓŁY"
"You need to login", "Musisz się zalogować"
"No RMA document", "Brak dokumentu zwrotu/reklamacji - powiadom obsługę"
"An error occured", "Wystapił błąd. Prosimy spróbować później."
"Choose package","Wybór przesyłki"
"Carrier","Kurier"
"Shipping label added","Dodano list przewozowy"
"No changes (empty comment and same status)","Nie wprowadzono zmian (nie było komentarza ani zmiany statusu"
"Package","Paczka"
"Envelope","Koperta"
"Status changed","Status zmieniono"
"Sent date","Utworzono dnia"
"Details of RMA no. %s","Szczegóły RMA numer %s"
"Customer notified by email","Informacja wysłana do klienta"
"Reset","Wyczyść filtr"
"Browse your RMA","Przeglądanie listy RMA zgłoszonych przez klientów"
"RMA List","Obsługa RMA"
"RMA number","Numer RMA"
"Date","Data"
"Vendor","Sklep"
"Products","Produkty"
"Status","Status"
"Place RMA","Wyślij zgłoszenie"
