"Order no", "Nr zamówienia"
"Date placed", "Data złożenia"
"Shops", "Sklepy"
"Products", "Produkty"
"Order details", "Szczegóły"
"Order history", "Historia zamówień"
"view", "zobacz"
"Value", "Wartość"
"back: my account", "powrót do: moje konto"
"back", "powrót"
"Contact with vendor", "Skontaktuj się ze sklepem"
"Total order value", "Całkowita wartość zamówienia"
"Order date", "Data zamówienia"
"You have %d open orders. Click to browse your open orders.", "Masz %d otwarte zamówienia. Kliknij by je zobaczyć."
