"Promotion","Promocja"
"Sale","Wyprzedaż"
"Is Bestseller","Bestseller"
"Is New","Nowość"
"Bestseller","Bestseller"
"New","Nowość"
"Everywhere","W całej galerii"
"This category","Ta kategoria"
"No items found","Brak wyników"
"less than","poniżej"
"greater than","powyżej"
"to","do"
"Search result for: ","Wyniki wyszukiwania dla: "
"Found: %s products","Znaleziono: %s produktów"
"Found: 2 products","Znaleziono: 2 prodykty"
"Found: 1 product","Znaleziono: 1 produkt"
"No results","Brak wyników"
"for &quot;%s&quot;","dla &quot;%s&quot;"
"Do You mean:","Czy chodzi Ci o:"
"You're looking for: ","Szukasz: "
"in","w"
"categories","kategoriach"
"Everywhere","Wszędzie"
"Search...","Szukaj..."
"Search","Szukaj"
"This vendor","Ten sprzedawca"
"This brandshop","Ten sklep"
"In ","W "
"in ","w "
"This category","Ta kategoria"
"Search in ","Szukaj w "
"All categories","Wszystkie kategorie"
"No search results found for","Nie znaleziono wyników wyszukiwania dla"
"Relevance", "Trafność"
"Price ascendend", "Cena (od najniższej)"
"Price descendent", "Cena (od najwyższej)"
"Popularity", "Popularność"
"Best rated", "Najlepszych opinii"
"New products", "Nowości"
"Best deals","Najlepsze okazje"
"Search results for query &bdquo;%s&rdquo; not found.", "Nie znaleziono wyników wyszukiwania dla &bdquo;%s&rdquo;."
"Search results for query &bdquo;%s&rdquo; not found for category %s", "Nie znaleziono wyników wyszukiwania dla &bdquo;%s&rdquo; w kategorii %s"
"Search results for query &bdquo;%s&rdquo; not found in gallery.", "Nigdzie nie znaleziono wyników wyszukiwania dla &bdquo;%s&rdquo;."
"in whole Gallery", "w całej Galerii Handlowej"
"in category", "w kategorii"
"in shop", "w sklepie"
"for vendor", "dla sprzedawcy"
"Search results for:", "Wyniki wyszukiwania dla:"
"Did you mean &bdquo;%s&rdquo; ?", "Czy chodziło Ci o &bdquo;%s&rdquo; ?"
"Search: %s", "Wyszukaj: %s"
"Product Flags","Polecane produkty"
"back to campaign","wróć do kampanii"
"in whole shop","w całym sklepie"
"Show more","Pokaż więcej"
"Show less","Pokaż mniej"
"back to parent category","wróć do kategorii wyżej"
"Process queue","Kolejka przetwarzania"
"Indicies settings","Konfiguracja indeksów"
"Indicies management","Indeksowanie"
"Logs","Log przetwarzania"
"SolrBridge","Wyszukiwarka Solr"
