"LookBook Slider","LookBook слайдер"
"LookBook Professional","LookBook Professional"
"General Settings","Общие настройки"
"General Information","Общая информация"
"Status","Статус"
"Status:","Статус:"
"Position","Позиция"
"Name","Имя"
"Yes","Да"
"No","Нет"
"Enabled","Включено"
"Disabled","Отключено"
"Serial","Ключ"
"Caption","Надпись"
"Order","Порядок"
"Visible In","Показать на CMS страницах"
"Products List","Список товаров"
"Use Categories Path for Product URLs","Использовать путь к категории в ссылке продукта"
"Uploaded file max size (bytes)","Максимальный обьем загружаемого файла"
"Must be less then upload_max_filesize and post_max_size in php.ini","Должен быть меньше, чем upload_max_filesize и post_max_size в php.ini"
"Allowed extensions","Разрешенные расширения загружаемых файлов"
"Comma separated file extensions. Example, &quot; jpg,gif,png &quot;","Разделённые запятой расширения файлов. Пример, &quot;jpg,gif,png&quot;"
"Hotspot Icon","Иконка горячей области"
"Rollover on the image to see hotspots","Наведите указатель мыши на изображение, чтобы увидеть горячие области"
"If empty, default will be used.","Если не загружена, будет использоваться иконка по умолчанию."
"Disallow hotspots areas overlap","Запрещать пересечение(наложение) горячих областей"
"If &quot;Yes&quot;, will disallow hotspots areas overlap","Если &quot;Да&quot;, пересечение(наложение) горячих областей будет запрещено"
"Slider Size","Размер слайдера"
"CMS Pages","CMS страницы"
"Categories","Категории"
"Product Categories","Категории продуктов"
"Edit Slider","Редактировать"
"Manage Slides","Слайды"
"Manage %s slides","Слайды слайдера %s"
"Add Slider","Добавить слайдер"
"Lookbook Slider Manager","Lookbook Менеджер слайдеров"
"Save Slider","Сохранить слайдер"
"Delete Slider","Удалить слайдер"
"Delete Slide","Удалить слайд"
"Save Slide","Сохранить слайд"
"Edit Slider '%s'","Редактирование слайдера '%s'"
"Slider &quot%s&quot. Slide &quot%s&quot.","Слайдер &quot%s&quot. Слайд&quot%s&quot."
"Slider &quot%s&quot. New Slide.","Слайдер &quot%s&quot. Новый слайд."
"Slider Information","Информация о слайдере"
"Display on CMS Pages","Показывать на CMS страницах"
"Display on Categories","Показывать на страницах категорий товаров"
"Slider Width (px)","Ширина слайдера (px)"
"Slider Height (px)","Высота слайдера (px)"
"Content Before","Контент перед слайдером"
"This content will be shown before slider","Этот контент будет показан над слайдером"
"Content After","Контент после слайдера"
"This content will be shown after slider","Этот контент будет показан под слайдером"
"Show Slide Names","Показывать названия слайдов"
"If YES will show slide names at the slider bottom","Если ДА, будут показаны названия слайдов внизу слайдера"
"Sliders Manager","Менеджер слайдеров"
"Slider does not exist","Слайдер не существует"
"Slider width and height must be set and greater then zero.","Слайдер не сохранен. Нужно указать ширину и высоту слайдера. Они должны быть больше нуля."
"Slider was successfully saved","Слайдер был успешно сохранен"
"Slide id not set","Параметр slider_id отсутствует в запросе"
"Unable to find slider to save","Не удалось найти слайдер для сохранения"
"Slider was successfully deleted","Слайдер был успешно удален"
"Please select Slider(s)","Пожалуйста, выберите слайдер(ы)"
"Total of %d record(s) were successfully deleted","%d слайдеров было успешно удалено"
"Total of %d record(s) were successfully updated","%d слайдеров было успешно обновлено"
"Slide does not exists","Слайда не существует"
"Slide with id=%s not exists","Слайда c id=%s не существует"
"Slide was successfully saved","Слайд был успешно сохранен"
"Slide information","Информация слайда"
"Unable to find slide to save","Не удалось найти слайд для сохранения"
"Slide was successfully deleted","Слайд был успешно удален"
"File can't be uploaded. Slider_id not set.","Файл не может быть загружен. Slider_id не установлено."
"Please select slide(s)","Пожалуйста, выберите слайд(ы)"
"File can't be uploaded. Increase post_max_size and upload_max_filesize to %s","Файл не может быть загружен. Увеличьте post_max_size и upload_max_filesize до %s"
